distinctive	(adj) 有特色的;特殊的	(n) 壞人;反派角色	(n) 污點;色斑;染色劑	(n) (餐館等的)主廚;大師傅
possess	(v) 擁有,持有;具有	(v) 預言;預料	(v) 保存,保藏;防腐	(v) 給予...特權
predict	(v) 預言;預料	(v) 保存,保藏;防腐	(v) 給予...特權	(v) 開始,著手
preserve	(v) 保存,保藏;防腐	(v) 給予...特權	(v) 開始,著手	(v) 提示
privilege	(v) 給予...特權	(v) 開始,著手	(v) 提示	(v) 繁榮,昌盛
proceed	(v) 開始,著手	(v) 提示	(v) 繁榮,昌盛	(v) 抗議,反對
prompt	(v) 提示	(v) 繁榮,昌盛	(v) 抗議,反對	(v) 出版;發行;刊載
prosper	(v) 繁榮,昌盛	(v) 抗議,反對	(v) 出版;發行;刊載	(v) 顫抖;震動;搖晃
protest	(v) 抗議,反對	(v) 出版;發行;刊載	(v) 顫抖;震動;搖晃	(v) 加軟襯料後縫製;東拼西湊地編(書)
publish	(v) 出版;發行;刊載	(v) 顫抖;震動;搖晃	(v) 加軟襯料後縫製;東拼西湊地編(書)	(v) 發怒,怒斥
quake	(v) 顫抖;震動;搖晃	(v) 加軟襯料後縫製;東拼西湊地編(書)	(v) 發怒,怒斥	(v) 造反;反叛
quilt	(v) 加軟襯料後縫製;東拼西湊地編(書)	(v) 發怒,怒斥	(v) 造反;反叛	(v) 回憶;使想起;召回
rage	(v) 發怒,怒斥	(v) 造反;反叛	(v) 回憶;使想起;召回	(v) 背誦;朗誦;詳述
rebel	(v) 造反;反叛	(v) 回憶;使想起;召回	(v) 背誦;朗誦;詳述	(v) 回收
recall	(v) 回憶;使想起;召回	(v) 背誦;朗誦;詳述	(v) 回收	(v) 論及,談到;參考
recite	(v) 背誦;朗誦;詳述	(v) 回收	(v) 論及,談到;參考	(v) 反射;照出,映出
recycle	(v) 回收	(v) 論及,談到;參考	(v) 反射;照出,映出	(v) 改革,革新
refer	(v) 論及,談到;參考	(v) 反射;照出,映出	(v) 改革,革新	(v) 使得到補充;更新
reflect	(v) 反射;照出,映出	(v) 改革,革新	(v) 使得到補充;更新	(v) 註冊,申報
reform	(v) 改革,革新	(v) 使得到補充;更新	(v) 註冊,申報	(v) 為...制訂規章;調節
refresh	(v) 使得到補充;更新	(v) 註冊,申報	(v) 為...制訂規章;調節	(v) 緩和,減輕;解除
register	(v) 註冊,申報	(v) 為...制訂規章;調節	(v) 緩和,減輕;解除	(v) 議論;評論
regulate	(v) 為...制訂規章;調節	(v) 緩和,減輕;解除	(v) 議論;評論	(v) 補救;糾正;去除(弊病等)
relieve	(v) 緩和,減輕;解除	(v) 議論;評論	(v) 補救;糾正;去除(弊病等)	(v) 援救;營救
remark	(v) 議論;評論	(v) 補救;糾正;去除(弊病等)	(v) 援救;營救	(v) 調查,探究
remedy	(v) 補救;糾正;去除(弊病等)	(v) 援救;營救	(v) 調查,探究	(v) 像,類似
rescue	(v) 援救;營救	(v) 調查,探究	(v) 像,類似	(v) 放棄,辭去
research	(v) 調查,探究	(v) 像,類似	(v) 放棄,辭去	(v) 解決,解答;使分解
resemble	(v) 像,類似	(v) 放棄,辭去	(v) 解決,解答;使分解	(v) 恢復
resign	(v) 放棄,辭去	(v) 解決,解答;使分解	(v) 恢復	(v) 保留,保持
resolve	(v) 解決,解答;使分解	(v) 恢復	(v) 保留,保持	(v) 退休;退役
restore	(v) 恢復	(v) 保留,保持	(v) 退休;退役	(v) 撤退,退卻
retain	(v) 保留,保持	(v) 退休;退役	(v) 撤退,退卻	(v) 替...報仇
retire	(v) 退休;退役	(v) 撤退,退卻	(v) 替...報仇	(v) 校訂;更改
retreat	(v) 撤退,退卻	(v) 替...報仇	(v) 校訂;更改	(v) 酬謝;獎勵
revenge	(v) 替...報仇	(v) 校訂;更改	(v) 酬謝;獎勵	(v) 押韻
revise	(v) 校訂;更改	(v) 酬謝;獎勵	(v) 押韻	(v) 給...定路線
reward	(v) 酬謝;獎勵	(v) 押韻	(v) 給...定路線	(v) 毀滅
rhyme	(v) 押韻	(v) 給...定路線	(v) 毀滅	(v) 犧牲;獻出
route	(v) 給...定路線	(v) 毀滅	(v) 犧牲;獻出	(v) 給...薪水
ruin	(v) 毀滅	(v) 犧牲;獻出	(v) 給...薪水	(v) 罵,責罵
sacrifice	(v) 犧牲;獻出	(v) 給...薪水	(v) 罵,責罵	(v) 抓;搔
salary	(v) 給...薪水	(v) 罵,責罵	(v) 抓;搔	(v) 雕刻
scold	(v) 罵,責罵	(v) 抓;搔	(v) 雕刻	(v) 遮蔽;庇護
scratch	(v) 抓;搔	(v) 雕刻	(v) 遮蔽;庇護	(v) 轉移;移動
sculpture	(v) 雕刻	(v) 遮蔽;庇護	(v) 轉移;移動	(v) 聳(肩)
shelter	(v) 遮蔽;庇護	(v) 轉移;移動	(v) 聳(肩)	(v) 短程穿梭般運送
shift	(v) 轉移;移動	(v) 聳(肩)	(v) 短程穿梭般運送	(v) 為...選址;設置
shrug	(v) 聳(肩)	(v) 短程穿梭般運送	(v) 為...選址;設置	(v) 寫生;速寫;為...繪草圖
shuttle	(v) 短程穿梭般運送	(v) 為...選址;設置	(v) 寫生;速寫;為...繪草圖	(v) 乘雪橇
site	(v) 為...選址;設置	(v) 寫生;速寫;為...繪草圖	(v) 乘雪橇	(v) 乘雪橇
sketch	(v) 寫生;速寫;為...繪草圖	(v) 乘雪橇	(v) 乘雪橇	(v) 駕雪橇;用雪橇運輸
sled	(v) 乘雪橇	(v) 乘雪橇	(v) 駕雪橇;用雪橇運輸	(v) 輕視;藐視
sledge	(v) 乘雪橇	(v) 駕雪橇;用雪橇運輸	(v) 輕視;藐視	(v) 打噴嚏
sleigh	(v) 駕雪橇;用雪橇運輸	(v) 輕視;藐視	(v) 打噴嚏	(v) 嗚咽;啜泣
slight	(v) 輕視;藐視	(v) 打噴嚏	(v) 嗚咽;啜泣	(v) 分出,騰出(時間,人手)
sneeze	(v) 打噴嚏	(v) 嗚咽;啜泣	(v) 分出,騰出(時間,人手)	(v) 發動;點燃
sob	(v) 嗚咽;啜泣	(v) 分出,騰出(時間,人手)	(v) 發動;點燃	(v) 發火花;閃耀;煥發
spare	(v) 分出,騰出(時間,人手)	(v) 發動;點燃	(v) 發火花;閃耀;煥發	(v) 刺,戳
spark	(v) 發動;點燃	(v) 發火花;閃耀;煥發	(v) 刺,戳	(v) 劈開;切開
sparkle	(v) 發火花;閃耀;煥發	(v) 刺,戳	(v) 劈開;切開	(v) 起源於,由...而造成
spear	(v) 刺,戳	(v) 劈開;切開	(v) 起源於,由...而造成	(v) 加強;增強
split	(v) 劈開;切開	(v) 起源於,由...而造成	(v) 加強;增強	(v) 努力,苦幹,奮鬥;反抗,鬥爭
stem	(v) 起源於,由...而造成	(v) 加強;增強	(v) 努力,苦幹,奮鬥;反抗,鬥爭	(v) 畫短線於
strengthen	(v) 加強;增強	(v) 努力,苦幹,奮鬥;反抗,鬥爭	(v) 畫短線於	(v) 總結,概述,概括
strive	(v) 努力,苦幹,奮鬥;反抗,鬥爭	(v) 畫短線於	(v) 總結,概述,概括	(v) 衝浪;在網路或頻道上搜索資料
stroke	(v) 畫短線於	(v) 總結,概述,概括	(v) 衝浪;在網路或頻道上搜索資料	(v) 使投降,使自首
summarize	(v) 總結,概述,概括	(v) 衝浪;在網路或頻道上搜索資料	(v) 使投降,使自首	(v) 搖動;搖擺;影響
surf	(v) 衝浪;在網路或頻道上搜索資料	(v) 使投降,使自首	(v) 搖動;搖擺;影響	(v) 輕拍,輕叩
surrender	(v) 使投降,使自首	(v) 搖動;搖擺;影響	(v) 輕拍,輕叩	(v) 用電報發送;電匯;電購
sway	(v) 搖動;搖擺;影響	(v) 輕拍,輕叩	(v) 用電報發送;電匯;電購	(v) 使拉緊,使繃緊
tap	(v) 輕拍,輕叩	(v) 用電報發送;電匯;電購	(v) 使拉緊,使繃緊	(v) 使害怕;使恐怖
telegraph	(v) 用電報發送;電匯;電購	(v) 使拉緊,使繃緊	(v) 使害怕;使恐怖	(v) 忍受;寬恕;容許
tense	(v) 使拉緊,使繃緊	(v) 使害怕;使恐怖	(v) 忍受;寬恕;容許	(v) 轉換;調動
terrify	(v) 使害怕;使恐怖	(v) 忍受;寬恕;容許	(v) 轉換;調動	(v) 使改變;使轉化
tolerate	(v) 忍受;寬恕;容許	(v) 轉換;調動	(v) 使改變;使轉化	(v) 翻譯
transfer	(v) 轉換;調動	(v) 使改變;使轉化	(v) 翻譯	(v) 獲得勝利
transform	(v) 使改變;使轉化	(v) 翻譯	(v) 獲得勝利	(v) (星等)閃爍;閃耀
translate	(v) 翻譯	(v) 獲得勝利	(v) (星等)閃爍;閃耀	(v) [電腦]上載
triumph	(v) 獲得勝利	(v) (星等)閃爍;閃耀	(v) [電腦]上載	(v) 催促;力勸
twinkle	(v) (星等)閃爍;閃耀	(v) [電腦]上載	(v) 催促;力勸	(v) 違犯;擾亂
upload	(v) [電腦]上載	(v) 催促;力勸	(v) 違犯;擾亂	(v) 自願(做)
urge	(v) 催促;力勸	(v) 違犯;擾亂	(v) 自願(做)	(v) 航行;旅行
violate	(v) 違犯;擾亂	(v) 自願(做)	(v) 航行;旅行	(v) 提取;撤離
volunteer	(v) 自願(做)	(v) 航行;旅行	(v) 提取;撤離	(v) 目擊;為...作證
voyage	(v) 航行;旅行	(v) 提取;撤離	(v) 目擊;為...作證	(v) 遇難;受到破壞
withdraw	(v) 提取;撤離	(v) 目擊;為...作證	(v) 遇難;受到破壞	(v) 起皺紋
witness	(v) 目擊;為...作證	(v) 遇難;受到破壞	(v) 起皺紋	(adv.)反方向地,相反地
wreck	(v) 遇難;受到破壞	(v) 起皺紋	(adv.)反方向地,相反地	(adv.)在別處;往別處
wrinkle	(v) 起皺紋	(adv.)反方向地,相反地	(adv.)在別處;往別處	(adv.)而且,此外,再者
counter	(adv.)反方向地,相反地	(adv.)在別處;往別處	(adv.)而且,此外,再者	(adv.)非常,很,高度地
elsewhere	(adv.)在別處;往別處	(adv.)而且,此外,再者	(adv.)非常,很,高度地	(adv.)大部分;主要地;大量地
furthermore	(adv.)而且,此外,再者	(adv.)非常,很,高度地	(adv.)大部分;主要地;大量地	(adv.)近來,最近;不久前
highly	(adv.)非常,很,高度地	(adv.)大部分;主要地;大量地	(adv.)近來,最近;不久前	(adv.)從容不迫地,慢慢地
largely	(adv.)大部分;主要地;大量地	(adv.)近來,最近;不久前	(adv.)從容不迫地,慢慢地	(adv.)每月;每月一次
lately	(adv.)近來,最近;不久前	(adv.)從容不迫地,慢慢地	(adv.)每月;每月一次	(adv.)並且,加之,此外
leisurely	(adv.)從容不迫地,慢慢地	(adv.)每月;每月一次	(adv.)並且,加之,此外	(adv.)一般地,通常
monthly	(adv.)每月;每月一次	(adv.)並且,加之,此外	(adv.)一般地,通常	(adv.)即,那就是
moreover	(adv.)並且,加之,此外	(adv.)一般地,通常	(adv.)即,那就是	(adv.)現今,時下
mostly	(adv.)一般地,通常	(adv.)即,那就是	(adv.)現今,時下	(adv.)除此以外;否則,不然
namely	(adv.)即,那就是	(adv.)現今,時下	(adv.)除此以外;否則,不然	(adv.)一整夜的
nowadays	(adv.)現今,時下	(adv.)除此以外;否則,不然	(adv.)一整夜的	(adv.)粗糙地;粗暴地;大約
otherwise	(adv.)除此以外;否則,不然	(adv.)一整夜的	(adv.)粗糙地;粗暴地;大約	(adv.)幾乎不,幾乎沒有
overnight	(adv.)一整夜的	(adv.)粗糙地;粗暴地;大約	(adv.)幾乎不,幾乎沒有	(adv.)每週
roughly	(adv.)粗糙地;粗暴地;大約	(adv.)幾乎不,幾乎沒有	(adv.)每週	(adv.)一年一度
scarcely	(adv.)幾乎不,幾乎沒有	(adv.)每週	(adv.)一年一度	(prep.)在...之間;在...之中
weekly	(adv.)每週	(adv.)一年一度	(prep.)在...之間;在...之中	(prep.)在...之中;在...中間
yearly	(adv.)一年一度	(prep.)在...之間;在...之中	(prep.)在...之中;在...中間	(prep.)關於
amid	(prep.)在...之間;在...之中	(prep.)在...之中;在...中間	(prep.)關於	(prep.)不管,儘管,任憑
amidst	(prep.)在...之中;在...中間	(prep.)關於	(prep.)不管,儘管,任憑	(prep.)包括
concerning	(prep.)關於	(prep.)不管,儘管,任憑	(prep.)包括	(prep.)關於;就...而論
despite	(prep.)不管,儘管,任憑	(prep.)包括	(prep.)關於;就...而論	(n) 下腹
including	(prep.)包括	(prep.)關於;就...而論	(n) 下腹	(n) 重音;腔調
regarding	(prep.)關於;就...而論	(n) 下腹	(n) 重音;腔調	(n) 接受;領受;(票據等的)承兌,認付
abdomen	(n) 下腹	(n) 重音;腔調	(n) 接受;領受;(票據等的)承兌,認付	(n) 通道;入口;門路
accent	(n) 重音;腔調	(n) 接受;領受;(票據等的)承兌,認付	(n) 通道;入口;門路	(n) 成就;成績;造詣;實現
acceptance	(n) 接受;領受;(票據等的)承兌,認付	(n) 通道;入口;門路	(n) 成就;成績;造詣;實現	(n) 會計師
access	(n) 通道;入口;門路	(n) 成就;成績;造詣;實現	(n) 會計師	(n) 正確(性);準確(性)
accomplishment	(n) 成就;成績;造詣;實現	(n) 會計師	(n) 正確(性);準確(性)	(n) (化學)酸
accountant	(n) 會計師	(n) 正確(性);準確(性)	(n) (化學)酸	(n) 相識的人
accuracy	(n) 正確(性);準確(性)	(n) (化學)酸	(n) 相識的人	(n) 英畝
acid	(n) (化學)酸	(n) 相識的人	(n) 英畝	(n) 形容詞
acquaintance	(n) 相識的人	(n) 英畝	(n) 形容詞	(n) 調節;調整
acre	(n) 英畝	(n) 形容詞	(n) 調節;調整	(n) 欽佩;羨慕
adjective	(n) 形容詞	(n) 調節;調整	(n) 欽佩;羨慕	(n) 進入許可;入場費;承認
adjustment	(n) 調節;調整	(n) 欽佩;羨慕	(n) 進入許可;入場費;承認	(n) 副詞
admiration	(n) 欽佩;羨慕	(n) 進入許可;入場費;承認	(n) 副詞	(n) 仲介;代理
admission	(n) 進入許可;入場費;承認	(n) 副詞	(n) 仲介;代理	(n) 代理人;代理商
adverb	(n) 副詞	(n) 仲介;代理	(n) 代理人;代理商	(n) 酒精;酒
agency	(n) 仲介;代理	(n) 代理人;代理商	(n) 酒精;酒	(n) 警戒,警報;警戒狀態
agent	(n) 代理人;代理商	(n) 酒精;酒	(n) 警戒,警報;警戒狀態	(n) 津貼,零用錢
alcohol	(n) 酒精;酒	(n) 警戒,警報;警戒狀態	(n) 津貼,零用錢	(n) 鋁
alert	(n) 警戒,警報;警戒狀態	(n) 津貼,零用錢	(n) 鋁	(n) 業餘從事者;外行
allowance	(n) 津貼,零用錢	(n) 鋁	(n) 業餘從事者;外行	(n) 樂趣;消遣
aluminum	(n) 鋁	(n) 業餘從事者;外行	(n) 樂趣;消遣	(n) 分析
amateur	(n) 業餘從事者;外行	(n) 樂趣;消遣	(n) 分析	(n) 祖宗,祖先
amusement	(n) 樂趣;消遣	(n) 分析	(n) 祖宗,祖先	(n) 周年紀念日
analysis	(n) 分析	(n) 祖宗,祖先	(n) 周年紀念日	(n) 焦慮,掛念
ancestor	(n) 祖宗,祖先	(n) 周年紀念日	(n) 焦慮,掛念	(n) 道歉
anniversary	(n) 周年紀念日	(n) 焦慮,掛念	(n) 道歉	(n) 用具;裝置,設備
anxiety	(n) 焦慮,掛念	(n) 道歉	(n) 用具;裝置,設備	(n) 申請人
apology	(n) 道歉	(n) 用具;裝置,設備	(n) 申請人	(n) 申請
appliance	(n) 用具;裝置,設備	(n) 申請人	(n) 申請	(n) (尤指正式的)約會;約定
applicant	(n) 申請人	(n) 申請	(n) (尤指正式的)約會;約定	(n) 欣賞,鑑賞;賞識
application	(n) 申請	(n) (尤指正式的)約會;約定	(n) 欣賞,鑑賞;賞識	(n) 批准;認可
appointment	(n) (尤指正式的)約會;約定	(n) 欣賞,鑑賞;賞識	(n) 批准;認可	(n) 拱門,拱形
appreciation	(n) 欣賞,鑑賞;賞識	(n) 批准;認可	(n) 拱門,拱形	(n) 武器;戰爭;戰鬥;兵役
approval	(n) 批准;認可	(n) 拱門,拱形	(n) 武器;戰爭;戰鬥;兵役	(n) 文章;條款
arch	(n) 拱門,拱形	(n) 武器;戰爭;戰鬥;兵役	(n) 文章;條款	(n) 方面,觀點
arms	(n) 武器;戰爭;戰鬥;兵役	(n) 文章;條款	(n) 方面,觀點	(n) 阿斯匹靈(解熱鎮痛藥)
article	(n) 文章;條款	(n) 方面,觀點	(n) 阿斯匹靈(解熱鎮痛藥)	(n) 集會;集合
aspect	(n) 方面,觀點	(n) 阿斯匹靈(解熱鎮痛藥)	(n) 集會;集合	(n) (分派的)任務;工作;(課外)作業
aspirin	(n) 阿斯匹靈(解熱鎮痛藥)	(n) 集會;集合	(n) (分派的)任務;工作;(課外)作業	(n) 幫助,協助
assembly	(n) 集會;集合	(n) (分派的)任務;工作;(課外)作業	(n) 幫助,協助	(n) 夥伴;同事
assignment	(n) (分派的)任務;工作;(課外)作業	(n) 幫助,協助	(n) 夥伴;同事	(n) 協會,公會,社團
assistance	(n) 幫助,協助	(n) 夥伴;同事	(n) 協會,公會,社團	(n) 保證
associate	(n) 夥伴;同事	(n) 協會,公會,社團	(n) 保證	(n) 大氣;氣氛
association	(n) 協會,公會,社團	(n) 保證	(n) 大氣;氣氛	(n) 原子
assurance	(n) 保證	(n) 大氣;氣氛	(n) 原子	(n) 連接;安裝;附著;附屬物;附件;扣押;扣押令
atmosphere	(n) 大氣;氣氛	(n) 原子	(n) 連接;安裝;附著;附屬物;附件;扣押;扣押令	(n) 吸引;吸引力
atom	(n) 原子	(n) 連接;安裝;附著;附屬物;附件;扣押;扣押令	(n) 吸引;吸引力	(n) 職權;官方
attachment	(n) 連接;安裝;附著;附屬物;附件;扣押;扣押令	(n) 吸引;吸引力	(n) 職權;官方	(n) 自傳
attraction	(n) 吸引;吸引力	(n) 職權;官方	(n) 自傳	(n) 背包
authority	(n) 職權;官方	(n) 自傳	(n) 背包	(n) 芭蕾舞
autobiography	(n) 自傳	(n) 背包	(n) 芭蕾舞	(n) 破產者;赤貧者
backpack	(n) 背包	(n) 芭蕾舞	(n) 破產者;赤貧者	(n) 交易;廉價
ballet	(n) 芭蕾舞	(n) 破產者;赤貧者	(n) 交易;廉價	(n) 障礙物;路障
bankrupt	(n) 破產者;赤貧者	(n) 交易;廉價	(n) 障礙物;路障	(n) 臉盆;盆地
bargain	(n) 交易;廉價	(n) 障礙物;路障	(n) 臉盆;盆地	(n) 電池
barrier	(n) 障礙物;路障	(n) 臉盆;盆地	(n) 電池	(n) 鳥嘴
basin	(n) 臉盆;盆地	(n) 電池	(n) 鳥嘴	(n) 橫樑;光束
battery	(n) 電池	(n) 鳥嘴	(n) 橫樑;光束	(n) 行為
beak	(n) 鳥嘴	(n) 橫樑;光束	(n) 行為	(n) 傳記
beam	(n) 橫樑;光束	(n) 行為	(n) 傳記	(n) 生物學
behavior	(n) 行為	(n) 傳記	(n) 生物學	(n) 刀片;葉片;葉片狀物
biography	(n) 傳記	(n) 生物學	(n) 刀片;葉片;葉片狀物	(n) 混合,混雜;交融;混合物
biology	(n) 生物學	(n) 刀片;葉片;葉片狀物	(n) 混合,混雜;交融;混合物	(n) 祈神賜福;祝福
blade	(n) 刀片;葉片;葉片狀物	(n) 混合,混雜;交融;混合物	(n) 祈神賜福;祝福	(n) 眨眼睛;一瞬間
blend	(n) 混合,混雜;交融;混合物	(n) 祈神賜福;祝福	(n) 眨眼睛;一瞬間	(n) 開花
blessing	(n) 祈神賜福;祝福	(n) 眨眼睛;一瞬間	(n) 開花	(n) 花;開花
blink	(n) 眨眼睛;一瞬間	(n) 開花	(n) 花;開花	(n) 臉紅
bloom	(n) 開花	(n) 花;開花	(n) 臉紅	(n) 吹牛;大話
blossom	(n) 花;開花	(n) 臉紅	(n) 吹牛;大話	(n) 結合力;束縛
blush	(n) 臉紅	(n) 吹牛;大話	(n) 結合力;束縛	(n) 彈,反彈
boast	(n) 吹牛;大話	(n) 結合力;束縛	(n) 彈,反彈	(n) 奶罩
bond	(n) 結合力;束縛	(n) 彈,反彈	(n) 奶罩	(n) 手鐲;臂鐲
bounce	(n) 彈,反彈	(n) 奶罩	(n) 手鐲;臂鐲	(n) 胸罩
bra	(n) 奶罩	(n) 手鐲;臂鐲	(n) 胸罩	(n) 品種
bracelet	(n) 手鐲;臂鐲	(n) 胸罩	(n) 品種	(n) 新郎
brassiere	(n) 胸罩	(n) 品種	(n) 新郎	(n) 公報;公告
breed	(n) 品種	(n) 新郎	(n) 公報;公告	(n) 櫥,櫃;內閣
bridegroom	(n) 新郎	(n) 公報;公告	(n) 櫥,櫃;內閣	(n) 計算;估計,推測;盤算
bulletin	(n) 公報;公告	(n) 櫥,櫃;內閣	(n) 計算;估計,推測;盤算	(n) 計算機
cabinet	(n) 櫥,櫃;內閣	(n) 計算;估計,推測;盤算	(n) 計算機	(n) 卡路里
calculation	(n) 計算;估計,推測;盤算	(n) 計算機	(n) 卡路里	(n) 運動,活動
calculator	(n) 計算機	(n) 卡路里	(n) 運動,活動	(n) 候選人;候補者
calorie	(n) 卡路里	(n) 運動,活動	(n) 候選人;候補者	(n) 容量,容積
campaign	(n) 運動,活動	(n) 候選人;候補者	(n) 容量,容積	(n) 岬,海角
candidate	(n) 候選人;候補者	(n) 容量,容積	(n) 岬,海角	(n) 資本主義
capacity	(n) 容量,容積	(n) 岬,海角	(n) 資本主義	(n) 資本主義者
cape	(n) 岬,海角	(n) 資本主義	(n) 資本主義者	(n) 職業;生涯;歷程
capitalism	(n) 資本主義	(n) 資本主義者	(n) 職業;生涯;歷程	(n) (船、飛機、車輛裝載的)貨物
capitalist	(n) 資本主義者	(n) 職業;生涯;歷程	(n) (船、飛機、車輛裝載的)貨物	(n) 運送人;從事運輸業公司;帶菌者
career	(n) 職業;生涯;歷程	(n) (船、飛機、車輛裝載的)貨物	(n) 運送人;從事運輸業公司;帶菌者	(n) 目錄
cargo	(n) (船、飛機、車輛裝載的)貨物	(n) 運送人;從事運輸業公司;帶菌者	(n) 目錄	(n) 目錄;大學概況一覽;登記,記載
carrier	(n) 運送人;從事運輸業公司;帶菌者	(n) 目錄	(n) 目錄;大學概況一覽;登記,記載	(n) 激光唱片
catalog	(n) 目錄	(n) 目錄;大學概況一覽;登記,記載	(n) 激光唱片	(n) 停息
catalogue	(n) 目錄;大學概況一覽;登記,記載	(n) 激光唱片	(n) 停息	(n) 慶祝
CD	(n) 激光唱片	(n) 停息	(n) 慶祝	(n) 水泥
cease	(n) 停息	(n) 慶祝	(n) 水泥	(n) 室,房間;議院
celebration	(n) 慶祝	(n) 水泥	(n) 室,房間;議院	(n) 冠軍的地位
cement	(n) 水泥	(n) 室,房間;議院	(n) 冠軍的地位	(n) 特性,特徵
chamber	(n) 室,房間;議院	(n) 冠軍的地位	(n) 特性,特徵	(n) 施捨;善舉
championship	(n) 冠軍的地位	(n) 特性,特徵	(n) 施捨;善舉	(n) 化學
characteristic	(n) 特性,特徵	(n) 施捨;善舉	(n) 化學	(n) 啁啾聲;唧唧聲
charity	(n) 施捨;善舉	(n) 化學	(n) 啁啾聲;唧唧聲	(n) 家庭雜務
chemistry	(n) 化學	(n) 啁啾聲;唧唧聲	(n) 家庭雜務	(n) 合唱隊
chirp	(n) 啁啾聲;唧唧聲	(n) 家庭雜務	(n) 合唱隊	(n) 雪茄煙
chore	(n) 家庭雜務	(n) 合唱隊	(n) 雪茄煙	(n) 電影院;電影;電影業
chorus	(n) 合唱隊	(n) 雪茄煙	(n) 電影院;電影;電影業	(n) 發行量
cigar	(n) 雪茄煙	(n) 電影院;電影;電影業	(n) 發行量	(n) 境況;境遇
cinema	(n) 電影院;電影;電影業	(n) 發行量	(n) 境況;境遇	(n) 平民,百姓
circulation	(n) 發行量	(n) 境況;境遇	(n) 平民,百姓	(n) 文明
circumstance	(n) 境況;境遇	(n) 平民,百姓	(n) 文明	(n) 碰撞聲,鏗鏘聲
civilian	(n) 平民,百姓	(n) 文明	(n) 碰撞聲,鏗鏘聲	(n) 分類;分級
civilization	(n) 文明	(n) 碰撞聲,鏗鏘聲	(n) 分類;分級	(n) 懸崖,峭壁
clash	(n) 碰撞聲,鏗鏘聲	(n) 分類;分級	(n) 懸崖,峭壁	(n) 頂點,最高點
classification	(n) 分類;分級	(n) 懸崖,峭壁	(n) 頂點,最高點	(n) 法規;代碼;電碼
cliff	(n) 懸崖,峭壁	(n) 頂點,最高點	(n) 法規;代碼;電碼	(n) 倒塌
climax	(n) 頂點,最高點	(n) 法規;代碼;電碼	(n) 倒塌	(n) 組合
code	(n) 法規;代碼;電碼	(n) 倒塌	(n) 組合	(n) 喜劇
collapse	(n) 倒塌	(n) 組合	(n) 喜劇	(n) 漫畫
combination	(n) 組合	(n) 喜劇	(n) 漫畫	(n) 指揮官,司令官
comedy	(n) 喜劇	(n) 漫畫	(n) 指揮官,司令官	(n) 評論
comic	(n) 漫畫	(n) 指揮官,司令官	(n) 評論	(n) 商業,貿易,交易
commander	(n) 指揮官,司令官	(n) 評論	(n) 商業,貿易,交易	(n) 交往;通信
comment	(n) 評論	(n) 商業,貿易,交易	(n) 交往;通信	(n) 社區
commerce	(n) 商業,貿易,交易	(n) 交往;通信	(n) 社區	(n) 光碟
