enact	(v) 制定(法律);扮演(角色)	(adj) 不正常的	(adj) 土著的;土著居民的	(adj) 心不在焉的;健忘的
drought	(n) 旱災	(n) 炸藥;具有爆炸性的事	(n) 退潮;衰退	(n) 古怪的人
dynamite	(n) 炸藥;具有爆炸性的事	(n) 退潮;衰退	(n) 古怪的人	(n) 生態學;生態
ebb	(n) 退潮;衰退	(n) 古怪的人	(n) 生態學;生態	(n) 狂喜;入迷
eccentric	(n) 古怪的人	(n) 生態學;生態	(n) 狂喜;入迷	(n) 社論
ecology	(n) 生態學;生態	(n) 狂喜;入迷	(n) 社論	(n) 電子
ecstasy	(n) 狂喜;入迷	(n) 社論	(n) 電子	(n) 精華;精英
editorial	(n) 社論	(n) 電子	(n) 精華;精英	(n) 雄辯;(流利的)口才
electron	(n) 電子	(n) 精華;精英	(n) 雄辯;(流利的)口才	(n) (往他國的)移民;移出者
elite	(n) 精華;精英	(n) 雄辯;(流利的)口才	(n) (往他國的)移民;移出者	(n) 移居;(總稱)移民
eloquence	(n) 雄辯;(流利的)口才	(n) (往他國的)移民;移出者	(n) 移居;(總稱)移民	(n) (法律的)制定;法規,條例
emigrant	(n) (往他國的)移民;移出者	(n) 移居;(總稱)移民	(n) (法律的)制定;法規,條例	(n) 封入;圈地;圍牆;附件
emigration	(n) 移居;(總稱)移民	(n) (法律的)制定;法規,條例	(n) 封入;圈地;圍牆;附件	(n) 百科全書
enactment	(n) (法律的)制定;法規,條例	(n) 封入;圈地;圍牆;附件	(n) 百科全書	(n) 忍耐,耐久力
enclosure	(n) 封入;圈地;圍牆;附件	(n) 百科全書	(n) 忍耐,耐久力	(n) 提高,增加
encyclopedia	(n) 百科全書	(n) 忍耐,耐久力	(n) 提高,增加	(n) 啟蒙;教化;開明
endurance	(n) 忍耐,耐久力	(n) 提高,增加	(n) 啟蒙;教化;開明	(n) 致富;豐富;添加肥料;增強食品營養
enhancement	(n) 提高,增加	(n) 啟蒙;教化;開明	(n) 致富;豐富;添加肥料;增強食品營養	(n) 流行病;(流行病)傳播;流行
enlightenment	(n) 啟蒙;教化;開明	(n) 致富;豐富;添加肥料;增強食品營養	(n) 流行病;(流行病)傳播;流行	(n) 一個事件;一節;一齣;一集
enrichment	(n) 致富;豐富;添加肥料;增強食品營養	(n) 流行病;(流行病)傳播;流行	(n) 一個事件;一節;一齣;一集	(n) 方程式;等式;相等
epidemic	(n) 流行病;(流行病)傳播;流行	(n) 一個事件;一節;一齣;一集	(n) 方程式;等式;相等	(n) 相等物;等價物
episode	(n) 一個事件;一節;一齣;一集	(n) 方程式;等式;相等	(n) 相等物;等價物	(n) 爆發;噴出
equation	(n) 方程式;等式;相等	(n) 相等物;等價物	(n) 爆發;噴出	(n) 本質;要素;精華;精油
equivalent	(n) 相等物;等價物	(n) 爆發;噴出	(n) 本質;要素;精華;精油	(n) 永遠;永恆;永世
eruption	(n) 爆發;噴出	(n) 本質;要素;精華;精油	(n) 永遠;永恆;永世	(n) 維護語言或風俗的小組成員
essence	(n) 本質;要素;精華;精油	(n) 永遠;永恆;永世	(n) 維護語言或風俗的小組成員	(n) 發展,進展
eternity	(n) 永遠;永恆;永世	(n) 維護語言或風俗的小組成員	(n) 發展,進展	(n) 摘錄;引用
ethnic	(n) 維護語言或風俗的小組成員	(n) 發展,進展	(n) 摘錄;引用	(n) 實行;執行;死刑
evolution	(n) 發展,進展	(n) 摘錄;引用	(n) 實行;執行;死刑	(n) 隨音樂表演豔舞者
excerpt	(n) 摘錄;引用	(n) 實行;執行;死刑	(n) 隨音樂表演豔舞者	(n) 遠征(隊);探險(隊)
execution	(n) 實行;執行;死刑	(n) 隨音樂表演豔舞者	(n) 遠征(隊);探險(隊)	(n) 專門知識;專門技術
exotic	(n) 隨音樂表演豔舞者	(n) 遠征(隊);探險(隊)	(n) 專門知識;專門技術	(n) 失效;期滿;吐氣
expedition	(n) 遠征(隊);探險(隊)	(n) 專門知識;專門技術	(n) 失效;期滿;吐氣	(n) 功績,功勳;英勇的行為
expertise	(n) 專門知識;專門技術	(n) 失效;期滿;吐氣	(n) 功績,功勳;英勇的行為	(n) 勘查;探測
expiration	(n) 失效;期滿;吐氣	(n) 功績,功勳;英勇的行為	(n) 勘查;探測	(n) 提取物;摘錄
exploit	(n) 功績,功勳;英勇的行為	(n) 勘查;探測	(n) 提取物;摘錄	(n) 視力,目力
exploration	(n) 勘查;探測	(n) 提取物;摘錄	(n) 視力,目力	(n) 派別;小集團;派系之爭
extract	(n) 提取物;摘錄	(n) 視力,目力	(n) 派別;小集團;派系之爭	(n) (學校的)全體教員;官能
eyesight	(n) 視力,目力	(n) 派別;小集團;派系之爭	(n) (學校的)全體教員;官能	(n) 熟悉;通曉
faction	(n) 派別;小集團;派系之爭	(n) (學校的)全體教員;官能	(n) 熟悉;通曉	(n) 饑荒
faculty	(n) (學校的)全體教員;官能	(n) 熟悉;通曉	(n) 饑荒	(n) 迷戀;陶醉
familiarity	(n) 熟悉;通曉	(n) 饑荒	(n) 迷戀;陶醉	(n) 聯邦政府;聯邦制度;聯盟
famine	(n) 饑荒	(n) 迷戀;陶醉	(n) 聯邦政府;聯邦制度;聯盟	(n) 反饋的信息
fascination	(n) 迷戀;陶醉	(n) 聯邦政府;聯邦制度;聯盟	(n) 反饋的信息	(n) 肥沃;繁殖力
federation	(n) 聯邦政府;聯邦制度;聯盟	(n) 反饋的信息	(n) 肥沃;繁殖力	(n) 忠誠;忠貞
feedback	(n) 反饋的信息	(n) 肥沃;繁殖力	(n) 忠誠;忠貞	(n) 閃耀的火光;閃光信號;照明彈
fertility	(n) 肥沃;繁殖力	(n) 忠誠;忠貞	(n) 閃耀的火光;閃光信號;照明彈	(n) 艦隊;機群;車隊
fidelity	(n) 忠誠;忠貞	(n) 閃耀的火光;閃光信號;照明彈	(n) 艦隊;機群;車隊	(n) 閃爍;忽隱忽現
flare	(n) 閃耀的火光;閃光信號;照明彈	(n) 艦隊;機群;車隊	(n) 閃爍;忽隱忽現	(n) 扔;擲;(手;腳等的)揮動
fleet	(n) 艦隊;機群;車隊	(n) 閃爍;忽隱忽現	(n) 扔;擲;(手;腳等的)揮動	(n) 液體
flicker	(n) 閃爍;忽隱忽現	(n) 扔;擲;(手;腳等的)揮動	(n) 液體	(n) 振翼;飄動;(心臟等的)撲動
fling	(n) 扔;擲;(手;腳等的)揮動	(n) 液體	(n) 振翼;飄動;(心臟等的)撲動	(n) 折斷;骨折;裂縫
fluid	(n) 液體	(n) 振翼;飄動;(心臟等的)撲動	(n) 折斷;骨折;裂縫	(n) 碎片;斷片
flutter	(n) 振翼;飄動;(心臟等的)撲動	(n) 折斷;骨折;裂縫	(n) 碎片;斷片	(n) 詭計;騙子;假貨
fracture	(n) 折斷;骨折;裂縫	(n) 碎片;斷片	(n) 詭計;騙子;假貨	(n) 畸形人(或動植物);反常現象;怪人
fragment	(n) 碎片;斷片	(n) 詭計;騙子;假貨	(n) 畸形人(或動植物);反常現象;怪人	(n) 摩擦;不和;爭執
fraud	(n) 詭計;騙子;假貨	(n) 畸形人(或動植物);反常現象;怪人	(n) 摩擦;不和;爭執	(n) 星系
freak	(n) 畸形人(或動植物);反常現象;怪人	(n) 摩擦;不和;爭執	(n) 星系	(n) 發電機;產生器
friction	(n) 摩擦;不和;爭執	(n) 星系	(n) 發電機;產生器	(n) 遺傳學
galaxy	(n) 星系	(n) 發電機;產生器	(n) 遺傳學	(n) 魅力,誘惑力;迷人的美;妖豔
generator	(n) 發電機;產生器	(n) 遺傳學	(n) 魅力,誘惑力;迷人的美;妖豔	(n) 玻璃器皿
genetics	(n) 遺傳學	(n) 魅力,誘惑力;迷人的美;妖豔	(n) 玻璃器皿	(n) 閃耀;閃光
glamour	(n) 魅力,誘惑力;迷人的美;妖豔	(n) 玻璃器皿	(n) 閃耀;閃光	(n) (曲線)圖;圖表
glassware	(n) 玻璃器皿	(n) 閃耀;閃光	(n) (曲線)圖;圖表	(n) 畫像
glisten	(n) 閃耀;閃光	(n) (曲線)圖;圖表	(n) 畫像	(n) 烤架;燒烤的肉類食物
graph	(n) (曲線)圖;圖表	(n) 畫像	(n) 烤架;燒烤的肉類食物	(n) 食品雜貨商
graphic	(n) 畫像	(n) 烤架;燒烤的肉類食物	(n) 食品雜貨商	(n) 觸摸;探索
grill	(n) 烤架;燒烤的肉類食物	(n) 食品雜貨商	(n) 觸摸;探索	(n) 游擊隊(員)
grocer	(n) 食品雜貨商	(n) 觸摸;探索	(n) 游擊隊(員)	(n) 棲地
grope	(n) 觸摸;探索	(n) 游擊隊(員)	(n) 棲地	(n) 駭客
guerrilla	(n) 游擊隊(員)	(n) 棲地	(n) 駭客	(n) 歡呼;打招呼;冰雹
habitat	(n) 棲地	(n) 駭客	(n) 歡呼;打招呼;冰雹	(n) 騷擾
hacker	(n) 駭客	(n) 歡呼;打招呼;冰雹	(n) 騷擾	(n) 危險;危害物
hail	(n) 歡呼;打招呼;冰雹	(n) 騷擾	(n) 危險;危害物	(n) (地球的)半球;半球體
harassment	(n) 騷擾	(n) 危險;危害物	(n) (地球的)半球;半球體	(n) 未來;來世
hazard	(n) 危險;危害物	(n) (地球的)半球;半球體	(n) 未來;來世	(n) 遺產;繼承物;傳統
hemisphere	(n) (地球的)半球;半球體	(n) 未來;來世	(n) 遺產;繼承物;傳統	(n) 海洛因
hereafter	(n) 未來;來世	(n) 遺產;繼承物;傳統	(n) 海洛因	(n) 強光(效果);最精彩的部分
heritage	(n) 遺產;繼承物;傳統	(n) 海洛因	(n) 強光(效果);最精彩的部分	(n) 荷爾蒙
heroin	(n) 海洛因	(n) 強光(效果);最精彩的部分	(n) 荷爾蒙	(n) 好客;殷勤招待
highlight	(n) 強光(效果);最精彩的部分	(n) 荷爾蒙	(n) 好客;殷勤招待	(n) 敵意;敵視;戰爭行動
hormone	(n) 荷爾蒙	(n) 好客;殷勤招待	(n) 敵意;敵視;戰爭行動	(n) 人道主義者;慈善家
hospitality	(n) 好客;殷勤招待	(n) 敵意;敵視;戰爭行動	(n) 人道主義者;慈善家	(n) 預感;隆肉;肉峰
hostility	(n) 敵意;敵視;戰爭行動	(n) 人道主義者;慈善家	(n) 預感;隆肉;肉峰	(n) 跳欄;跨欄賽跑;障礙
humanitarian	(n) 人道主義者;慈善家	(n) 預感;隆肉;肉峰	(n) 跳欄;跨欄賽跑;障礙	(n) 衛生;衛生學;保健法
hunch	(n) 預感;隆肉;肉峰	(n) 跳欄;跨欄賽跑;障礙	(n) 衛生;衛生學;保健法	(n) 偽善;虛偽
hurdle	(n) 跳欄;跨欄賽跑;障礙	(n) 衛生;衛生學;保健法	(n) 偽善;虛偽	(n) 偽善者;偽君子
hygiene	(n) 衛生;衛生學;保健法	(n) 偽善;虛偽	(n) 偽善者;偽君子	(n) 錯覺;假象;幻想
hypocrisy	(n) 偽善;虛偽	(n) 偽善者;偽君子	(n) 錯覺;假象;幻想	(n) 必要的事;命令;祈使語氣
hypocrite	(n) 偽善者;偽君子	(n) 錯覺;假象;幻想	(n) 必要的事;命令;祈使語氣	(n) 工具;器具;裝備
illusion	(n) 錯覺;假象;幻想	(n) 必要的事;命令;祈使語氣	(n) 工具;器具;裝備	(n) 含意;言外之意;暗示
imperative	(n) 必要的事;命令;祈使語氣	(n) 工具;器具;裝備	(n) 含意;言外之意;暗示	(n) 監禁;限止
implement	(n) 工具;器具;裝備	(n) 含意;言外之意;暗示	(n) 監禁;限止	(n) 鼓勵;動機
implication	(n) 含意;言外之意;暗示	(n) 監禁;限止	(n) 鼓勵;動機	(n) 傾斜;斜面;斜坡
imprisonment	(n) 監禁;限止	(n) 鼓勵;動機	(n) 傾斜;斜面;斜坡	(n) 憤怒;憤慨;義憤
incentive	(n) 鼓勵;動機	(n) 傾斜;斜面;斜坡	(n) 憤怒;憤慨;義憤	(n) 推論,推斷
incline	(n) 傾斜;斜面;斜坡	(n) 憤怒;憤慨;義憤	(n) 推論,推斷	(n) 心靈手巧;獨創性;足智多謀
indignation	(n) 憤怒;憤慨;義憤	(n) 推論,推斷	(n) 心靈手巧;獨創性;足智多謀	(n) 居民,居住者
inference	(n) 推論,推斷	(n) 心靈手巧;獨創性;足智多謀	(n) 居民,居住者	(n) 倡議;主動權
ingenuity	(n) 心靈手巧;獨創性;足智多謀	(n) 居民,居住者	(n) 倡議;主動權	(n) 注射
inhabitant	(n) 居民,居住者	(n) 倡議;主動權	(n) 注射	(n) 非正義;不公正
initiative	(n) 倡議;主動權	(n) 注射	(n) 非正義;不公正	(n) 革新;創新;新事物
injection	(n) 注射	(n) 非正義;不公正	(n) 革新;創新;新事物	(n) 詢問,打聽;質詢
injustice	(n) 非正義;不公正	(n) 革新;創新;新事物	(n) 詢問,打聽;質詢	(n) 洞察力;洞悉
innovation	(n) 革新;創新;新事物	(n) 詢問,打聽;質詢	(n) 洞察力;洞悉	(n) 堅持
inquiry	(n) 詢問,打聽;質詢	(n) 洞察力;洞悉	(n) 堅持	(n) 設施;安裝
insight	(n) 洞察力;洞悉	(n) 堅持	(n) 設施;安裝	(n) 分期付款;安置
insistence	(n) 堅持	(n) 設施;安裝	(n) 分期付款;安置	(n) 機構
installation	(n) 設施;安裝	(n) 分期付款;安置	(n) 機構	(n) 整合;積分
installment	(n) 分期付款;安置	(n) 機構	(n) 整合;積分	(n) 正直;廉正;健全
institution	(n) 機構	(n) 整合;積分	(n) 正直;廉正;健全	(n) 智力;理解力;有才智的人
integration	(n) 整合;積分	(n) 正直;廉正;健全	(n) 智力;理解力;有才智的人	(n) 交叉點;十字路口
integrity	(n) 正直;廉正;健全	(n) 智力;理解力;有才智的人	(n) 交叉點;十字路口	(n) 間隔;距離
intellect	(n) 智力;理解力;有才智的人	(n) 交叉點;十字路口	(n) 間隔;距離	(n) 介入;干預;調停
intersection	(n) 交叉點;十字路口	(n) 間隔;距離	(n) 介入;干預;調停	(n) 熟悉;親密;親近
interval	(n) 間隔;距離	(n) 介入;干預;調停	(n) 熟悉;親密;親近	(n) 侵入者;闖入者
intervention	(n) 介入;干預;調停	(n) 熟悉;親密;親近	(n) 侵入者;闖入者	(n) 存貨清單
intimacy	(n) 熟悉;親密;親近	(n) 侵入者;闖入者	(n) 存貨清單	(n) 調查者;研究者
intruder	(n) 侵入者;闖入者	(n) 存貨清單	(n) 調查者;研究者	(n) 反語;諷刺;出乎意料的結果
inventory	(n) 存貨清單	(n) 調查者;研究者	(n) 反語;諷刺;出乎意料的結果	(n) 激怒;惱怒
investigator	(n) 調查者;研究者	(n) 反語;諷刺;出乎意料的結果	(n) 激怒;惱怒	(n) (果核或果殼內的)仁;核心,要點
irony	(n) 反語;諷刺;出乎意料的結果	(n) 激怒;惱怒	(n) (果核或果殼內的)仁;核心,要點	(n) 悲痛之情;哀悼;悼詞
irritation	(n) 激怒;惱怒	(n) (果核或果殼內的)仁;核心,要點	(n) 悲痛之情;哀悼;悼詞	(n) 熔岩;火山岩
kernel	(n) (果核或果殼內的)仁;核心,要點	(n) 悲痛之情;哀悼;悼詞	(n) 熔岩;火山岩	(n) (未受神職的)一般信徒;外行人
lament	(n) 悲痛之情;哀悼;悼詞	(n) 熔岩;火山岩	(n) (未受神職的)一般信徒;外行人	(n) 設計;佈局;版面設計
lava	(n) 熔岩;火山岩	(n) (未受神職的)一般信徒;外行人	(n) 設計;佈局;版面設計	(n) 立法委員;國會議員
layman	(n) (未受神職的)一般信徒;外行人	(n) 設計;佈局;版面設計	(n) 立法委員;國會議員	(n) 立法機關;(美國的)州議會
layout	(n) 設計;佈局;版面設計	(n) 立法委員;國會議員	(n) 立法機關;(美國的)州議會	(n) 解放;釋出
legislator	(n) 立法委員;國會議員	(n) 立法機關;(美國的)州議會	(n) 解放;釋出	(n) limousine
legislature	(n) 立法機關;(美國的)州議會	(n) 解放;釋出	(n) limousine	(n) 大轎車
liberation	(n) 解放;釋出	(n) limousine	(n) 大轎車	(n) 班輪;眼線筆
limo	(n) limousine	(n) 大轎車	(n) 班輪;眼線筆	(n) 語言學者;通曉數種外語的人
limousine	(n) 大轎車	(n) 班輪;眼線筆	(n) 語言學者;通曉數種外語的人	(n) 液晶顯示 (= LCD)
liner	(n) 班輪;眼線筆	(n) 語言學者;通曉數種外語的人	(n) 液晶顯示 (= LCD)	(n) 公升
linguist	(n) 語言學者;通曉數種外語的人	(n) 液晶顯示 (= LCD)	(n) 公升	(n) 識字;讀寫能力
liquid crystal display	(n) 液晶顯示 (= LCD)	(n) 公升	(n) 識字;讀寫能力	(n) 能讀寫的人
liter	(n) 公升	(n) 識字;讀寫能力	(n) 能讀寫的人	(n) 長壽;壽命
literacy	(n) 識字;讀寫能力	(n) 能讀寫的人	(n) 長壽;壽命	(n) (旅館等的)會客廳;候機室;躺椅
literate	(n) 能讀寫的人	(n) 長壽;壽命	(n) (旅館等的)會客廳;候機室;躺椅	(n) 瘋子;瘋傻的人
longevity	(n) 長壽;壽命	(n) (旅館等的)會客廳;候機室;躺椅	(n) 瘋子;瘋傻的人	(n) 誘惑物;魅力;誘餌
lounge	(n) (旅館等的)會客廳;候機室;躺椅	(n) 瘋子;瘋傻的人	(n) 誘惑物;魅力;誘餌	(n) 抒情作品;歌詞
lunatic	(n) 瘋子;瘋傻的人	(n) 誘惑物;魅力;誘餌	(n) 抒情作品;歌詞	(n) 巨大;重大;強度
lure	(n) 誘惑物;魅力;誘餌	(n) 抒情作品;歌詞	(n) 巨大;重大;強度	(n) 瘧疾
lyric	(n) 抒情作品;歌詞	(n) 巨大;重大;強度	(n) 瘧疾	(n) 手稿;打字稿;原稿
magnitude	(n) 巨大;重大;強度	(n) 瘧疾	(n) 手稿;打字稿;原稿	(n) 大屠殺;慘敗
malaria	(n) 瘧疾	(n) 手稿;打字稿;原稿	(n) 大屠殺;慘敗	(n) 支配;統治;精通;掌握
manuscript	(n) 手稿;打字稿;原稿	(n) 大屠殺;慘敗	(n) 支配;統治;精通;掌握	(n) 材料,原料
massacre	(n) 大屠殺;慘敗	(n) 支配;統治;精通;掌握	(n) 材料,原料	(n) 唯物論;唯物主義
mastery	(n) 支配;統治;精通;掌握	(n) 材料,原料	(n) 唯物論;唯物主義	(n) 床墊
material	(n) 材料,原料	(n) 唯物論;唯物主義	(n) 床墊	(n) 機械裝置;機械作用;結構
materialism	(n) 唯物論;唯物主義	(n) 床墊	(n) 機械裝置;機械作用;結構	(n) 藥物治療;藥物
mattress	(n) 床墊	(n) 機械裝置;機械作用;結構	(n) 藥物治療;藥物	(n) 沈思;默想;冥想
mechanism	(n) 機械裝置;機械作用;結構	(n) 藥物治療;藥物	(n) 沈思;默想;冥想	(n) 憂鬱;愁思
medication	(n) 藥物治療;藥物	(n) 沈思;默想;冥想	(n) 憂鬱;愁思	(n) 智力;精神性;心理狀態
meditation	(n) 沈思;默想;冥想	(n) 憂鬱;愁思	(n) 智力;精神性;心理狀態	(n) 商品;貨物
melancholy	(n) 憂鬱;愁思	(n) 智力;精神性;心理狀態	(n) 商品;貨物	(n) 隱喻;象徵
mentality	(n) 智力;精神性;心理狀態	(n) 商品;貨物	(n) 隱喻;象徵	(n) 大城市人
merchandise	(n) 商品;貨物	(n) 隱喻;象徵	(n) 大城市人	(n) 遷移;遷徙;移民群
metaphor	(n) 隱喻;象徵	(n) 大城市人	(n) 遷移;遷徙;移民群	(n) 好鬥者;激進分子
metropolitan	(n) 大城市人	(n) 遷移;遷徙;移民群	(n) 好鬥者;激進分子	(n) 磨坊主;碾磨工
migration	(n) 遷移;遷徙;移民群	(n) 好鬥者;激進分子	(n) 磨坊主;碾磨工	(n) 善於模仿的人;滑稽劇演員
militant	(n) 好鬥者;激進分子	(n) 磨坊主;碾磨工	(n) 善於模仿的人;滑稽劇演員	(n) 縮樣;縮圖;小型物
miller	(n) 磨坊主;碾磨工	(n) 善於模仿的人;滑稽劇演員	(n) 縮樣;縮圖;小型物	(n) 傳教士;鼓吹者;(外交)使節
mimic	(n) 善於模仿的人;滑稽劇演員	(n) 縮樣;縮圖;小型物	(n) 傳教士;鼓吹者;(外交)使節	(n) 現代化;現代化的事物
miniature	(n) 縮樣;縮圖;小型物	(n) 傳教士;鼓吹者;(外交)使節	(n) 現代化;現代化的事物	(n) 模子;鑄型;模製品;霉
missionary	(n) 傳教士;鼓吹者;(外交)使節	(n) 現代化;現代化的事物	(n) 模子;鑄型;模製品;霉	(n) 動量;氣勢;動力
modernization	(n) 現代化;現代化的事物	(n) 模子;鑄型;模製品;霉	(n) 動量;氣勢;動力	(n) 獨佔;專賣;壟斷
mold	(n) 模子;鑄型;模製品;霉	(n) 動量;氣勢;動力	(n) 獨佔;專賣;壟斷	(n) 單調;千篇一律
momentum	(n) 動量;氣勢;動力	(n) 獨佔;專賣;壟斷	(n) 單調;千篇一律	(n) 士氣;鬥志;道德
monopoly	(n) 獨佔;專賣;壟斷	(n) 單調;千篇一律	(n) 士氣;鬥志;道德	(n) 道德;倫理;寓意
monotony	(n) 單調;千篇一律	(n) 士氣;鬥志;道德	(n) 道德;倫理;寓意	(n) 座右銘;格言
morale	(n) 士氣;鬥志;道德	(n) 道德;倫理;寓意	(n) 座右銘;格言	(n) 樂器的吹口;電話的送話口;代言人
morality	(n) 道德;倫理;寓意	(n) 座右銘;格言	(n) 樂器的吹口;電話的送話口;代言人	(n) 啞巴;弱音器
motto	(n) 座右銘;格言	(n) 樂器的吹口;電話的送話口;代言人	(n) 啞巴;弱音器	(n) (總稱)神話
mouthpiece	(n) 樂器的吹口;電話的送話口;代言人	(n) 啞巴;弱音器	(n) (總稱)神話	(n) 記敘文;故事;敘述
mute	(n) 啞巴;弱音器	(n) (總稱)神話	(n) 記敘文;故事;敘述	(n) 解說員;敘述者
mythology	(n) (總稱)神話	(n) 記敘文;故事;敘述	(n) 解說員;敘述者	(n) 民族主義;國家主義
narrative	(n) 記敘文;故事;敘述	(n) 解說員;敘述者	(n) 民族主義;國家主義	(n) 博物學家
narrator	(n) 解說員;敘述者	(n) 民族主義;國家主義	(n) 博物學家	(n) 肚臍;中央;中心
nationalism	(n) 民族主義;國家主義	(n) 博物學家	(n) 肚臍;中央;中心	(n) 航海;航空;導航
naturalist	(n) 博物學家	(n) 肚臍;中央;中心	(n) 航海;航空;導航	(n) 談判,協商
navel	(n) 肚臍;中央;中心	(n) 航海;航空;導航	(n) 談判,協商	(n) 氖;霓虹燈
navigation	(n) 航海;航空;導航	(n) 談判,協商	(n) 氖;霓虹燈	(n) 中立者;中立國;空檔
negotiation	(n) 談判,協商	(n) 氖;霓虹燈	(n) 中立者;中立國;空檔	(n) 新結婚的人
neon	(n) 氖;霓虹燈	(n) 中立者;中立國;空檔	(n) 新結婚的人	(n) 新聞廣播員
neutral	(n) 中立者;中立國;空檔	(n) 新結婚的人	(n) 新聞廣播員	(n) 提名;任命
newlywed	(n) 新結婚的人	(n) 新聞廣播員	(n) 提名;任命	(n) 被提名人
newscaster	(n) 新聞廣播員	(n) 提名;任命	(n) 被提名人	(n) 基準;規範;定額
nomination	(n) 提名;任命	(n) 被提名人	(n) 基準;規範;定額	(n) 食物,營養品;養育,滋養
nominee	(n) 被提名人	(n) 基準;規範;定額	(n) 食物,營養品;養育,滋養	(n) 討厭的人(或事物);騷擾行為
norm	(n) 基準;規範;定額	(n) 食物,營養品;養育,滋養	(n) 討厭的人(或事物);騷擾行為	(n) 營養物;養育;培育
nourishment	(n) 食物,營養品;養育,滋養	(n) 討厭的人(或事物);騷擾行為	(n) 營養物;養育;培育	(n) 營養物,滋養物
nuisance	(n) 討厭的人(或事物);騷擾行為	(n) 營養物;養育;培育	(n) 營養物,滋養物	(n) 營養,滋養
nurture	(n) 營養物;養育;培育	(n) 營養物,滋養物	(n) 營養,滋養	(n) (道義上或法律上的)義務
nutrient	(n) 營養物,滋養物	(n) 營養,滋養	(n) (道義上或法律上的)義務	(n) 提供;供奉;捐獻物;供物;課程
nutrition	(n) 營養,滋養	(n) (道義上或法律上的)義務	(n) 提供;供奉;捐獻物;供物;課程	(n) 子女;子孫;後代
obligation	(n) (道義上或法律上的)義務	(n) 提供;供奉;捐獻物;供物;課程	(n) 子女;子孫;後代	(n) 反對;反抗
offering	(n) 提供;供奉;捐獻物;供物;課程	(n) 子女;子孫;後代	(n) 反對;反抗	(n) 壓迫;壓制
offspring	(n) 子女;子孫;後代	(n) 反對;反抗	(n) 壓迫;壓制	(n) 選擇;選擇權
opposition	(n) 反對;反抗	(n) 壓迫;壓制	(n) 選擇;選擇權	(n) 嚴峻考驗;折磨
oppression	(n) 壓迫;壓制	(n) 選擇;選擇權	(n) 嚴峻考驗;折磨	(n) 勤務員,護理員
option	(n) 選擇;選擇權	(n) 嚴峻考驗;折磨	(n) 勤務員,護理員	(n) 生物;有機體
ordeal	(n) 嚴峻考驗;折磨	(n) 勤務員,護理員	(n) 生物;有機體	(n) 創造力;獨創性;創見;創舉
orderly	(n) 勤務員,護理員	(n) 生物;有機體	(n) 創造力;獨創性;創見;創舉	(n) 爆發;暴動
organism	(n) 生物;有機體	(n) 創造力;獨創性;創見;創舉	(n) 爆發;暴動	(n) 全套(工具、衣物等)
originality	(n) 創造力;獨創性;創見;創舉	(n) 爆發;暴動	(n) 全套(工具、衣物等)	(n) 遠足;郊遊
outbreak	(n) 爆發;暴動	(n) 全套(工具、衣物等)	(n) 遠足;郊遊	(n) 罪犯;亡命之徒
outfit	(n) 全套(工具、衣物等)	(n) 遠足;郊遊	(n) 罪犯;亡命之徒	(n) 出口;出路;商店
outing	(n) 遠足;郊遊	(n) 罪犯;亡命之徒	(n) 出口;出路;商店	(n) 觀點;展望;風光;瞭望
outlaw	(n) 罪犯;亡命之徒	(n) 出口;出路;商店	(n) 觀點;展望;風光;瞭望	(n) 暴行;不法行為;凌辱;義憤
outlet	(n) 出口;出路;商店	(n) 觀點;展望;風光;瞭望	(n) 暴行;不法行為;凌辱;義憤	(n) 最初;開始;開端
outlook	(n) 觀點;展望;風光;瞭望	(n) 暴行;不法行為;凌辱;義憤	(n) 最初;開始;開端	(n) 經常費用;天花板
outrage	(n) 暴行;不法行為;凌辱;義憤	(n) 最初;開始;開端	(n) 經常費用;天花板	(n) 重疊
outset	(n) 最初;開始;開端	(n) 經常費用;天花板	(n) 重疊	(n) 翻轉,傾覆;周轉,流通
overhead	(n) 經常費用;天花板	(n) 重疊	(n) 翻轉,傾覆;周轉,流通	(n) 契約;協定
overlap	(n) 重疊	(n) 翻轉,傾覆;周轉,流通	(n) 契約;協定	(n) 小冊子
overturn	(n) 翻轉,傾覆;周轉,流通	(n) 契約;協定	(n) 小冊子	(n) 議會,國會
pact	(n) 契約;協定	(n) 小冊子	(n) 議會,國會	(n) 步行者;行人
pamphlet	(n) 小冊子	(n) 議會,國會	(n) 步行者;行人	(n) 半島
parliament	(n) 議會,國會	(n) 步行者;行人	(n) 半島	(n) 退休金;養老金
pedestrian	(n) 步行者;行人	(n) 半島	(n) 退休金;養老金	(n) 感知;察覺;認知
peninsula	(n) 半島	(n) 退休金;養老金	(n) 感知;察覺;認知	(n) 堅持不懈;堅忍不拔
pension	(n) 退休金;養老金	(n) 感知;察覺;認知	(n) 堅持不懈;堅忍不拔	(n) 堅持;固執;持續
perception	(n) 感知;察覺;認知	(n) 堅持不懈;堅忍不拔	(n) 堅持;固執;持續	(n) 看法;遠景;前途;透視圖
perseverance	(n) 堅持不懈;堅忍不拔	(n) 堅持;固執;持續	(n) 看法;遠景;前途;透視圖	(n) 殺蟲劑
persistence	(n) 堅持;固執;持續	(n) 看法;遠景;前途;透視圖	(n) 殺蟲劑	(n) 石油
perspective	(n) 看法;遠景;前途;透視圖	(n) 殺蟲劑	(n) 石油	(n) 配藥者;藥劑師
pesticide	(n) 殺蟲劑	(n) 石油	(n) 配藥者;藥劑師	(n) 製藥業;藥房
