cast	(v) 投,擲; 選派...扮演角色	(v) 以...為特色	(n) 性別;色情;性交;性慾;性感	(adj) 奇特的,古怪的;單數的
introduction	(n) 介紹;正式引見	(n) 發明家	(n) 象牙	(n) 監獄;拘留所
inventor	(n) 發明家	(n) 象牙	(n) 監獄;拘留所	(n) 罐,罈
ivory	(n) 象牙	(n) 監獄;拘留所	(n) 罐,罈	(n) 頜;顎
jail	(n) 監獄;拘留所	(n) 罐,罈	(n) 頜;顎	(n) 果凍;果醬
jar	(n) 罐,罈	(n) 頜;顎	(n) 果凍;果醬	(n) 噴射;噴出物;噴射機
jaw	(n) 頜;顎	(n) 果凍;果醬	(n) 噴射;噴出物;噴射機	(n) 寶石
jelly	(n) 果凍;果醬	(n) 噴射;噴出物;噴射機	(n) 寶石	(n) (總稱)珠寶;首飾
jet	(n) 噴射;噴出物;噴射機	(n) 寶石	(n) (總稱)珠寶;首飾	(n) 日報;雜誌;期刊;日誌
jewel	(n) 寶石	(n) (總稱)珠寶;首飾	(n) 日報;雜誌;期刊;日誌	(n) 旅行
jewelry	(n) (總稱)珠寶;首飾	(n) 日報;雜誌;期刊;日誌	(n) 旅行	(n) (熱帶)叢林,密林
journal	(n) 日報;雜誌;期刊;日誌	(n) 旅行	(n) (熱帶)叢林,密林	(n) 廢棄的舊物
journey	(n) 旅行	(n) (熱帶)叢林,密林	(n) 廢棄的舊物	(n) 正義;公平
jungle	(n) (熱帶)叢林,密林	(n) 廢棄的舊物	(n) 正義;公平	(n) 袋鼠
junk	(n) 廢棄的舊物	(n) 正義;公平	(n) 袋鼠	(n) 水壺
justice	(n) 正義;公平	(n) 袋鼠	(n) 水壺	(n) 鍵盤
kangaroo	(n) 袋鼠	(n) 水壺	(n) 鍵盤	(n) 腎臟
kettle	(n) 水壺	(n) 鍵盤	(n) 腎臟	(n) 公斤
keyboard	(n) 鍵盤	(n) 腎臟	(n) 公斤	(n) 公里
kidney	(n) 腎臟	(n) 公斤	(n) 公里	(n) 成套工具;配套元件
kilogram	(n) 公斤	(n) 公里	(n) 成套工具;配套元件	(n) kilometer
kilometer	(n) 公里	(n) 成套工具;配套元件	(n) kilometer	(n) 騎士,武士;護衛者
kit	(n) 成套工具;配套元件	(n) kilometer	(n) 騎士,武士;護衛者	(n) 編織衣物
km	(n) kilometer	(n) 騎士,武士;護衛者	(n) 編織衣物	(n) 球形突出物
knight	(n) 騎士,武士;護衛者	(n) 編織衣物	(n) 球形突出物	(n) 花結;蝴蝶結
knit	(n) 編織衣物	(n) 球形突出物	(n) 花結;蝴蝶結	(n) 貼紙;標籤;商標
knob	(n) 球形突出物	(n) 花結;蝴蝶結	(n) 貼紙;標籤;商標	(n) 鞋帶;帶子;花邊
knot	(n) 花結;蝴蝶結	(n) 貼紙;標籤;商標	(n) 鞋帶;帶子;花邊	(n) 梯子
label	(n) 貼紙;標籤;商標	(n) 鞋帶;帶子;花邊	(n) 梯子	(n) 笑;笑聲
lace	(n) 鞋帶;帶子;花邊	(n) 梯子	(n) 笑;笑聲	(n) 洗衣店;送洗的衣服
ladder	(n) 梯子	(n) 笑;笑聲	(n) 洗衣店;送洗的衣服	(n) 草坪,草地
laughter	(n) 笑;笑聲	(n) 洗衣店;送洗的衣服	(n) 草坪,草地	(n) (水,瓦斯等的)漏出;漏電
laundry	(n) 洗衣店;送洗的衣服	(n) 草坪,草地	(n) (水,瓦斯等的)漏出;漏電	(n) 跳,跳躍
lawn	(n) 草坪,草地	(n) (水,瓦斯等的)漏出;漏電	(n) 跳,跳躍	(n) 皮革
leak	(n) (水,瓦斯等的)漏出;漏電	(n) 跳,跳躍	(n) 皮革	(n) 閒暇,空暇時間
leap	(n) 跳,跳躍	(n) 皮革	(n) 閒暇,空暇時間	(n) 透鏡;鏡片
leather	(n) 皮革	(n) 閒暇,空暇時間	(n) 透鏡;鏡片	(n) 說謊的人
leisure	(n) 閒暇,空暇時間	(n) 透鏡;鏡片	(n) 說謊的人	(n) 自由;自由權
lens	(n) 透鏡;鏡片	(n) 說謊的人	(n) 自由;自由權	(n) 圖書館員
liar	(n) 說謊的人	(n) 自由;自由權	(n) 圖書館員	(n) 救生艇
liberty	(n) 自由;自由權	(n) 圖書館員	(n) 救生艇	(n) 救生員
librarian	(n) 圖書館員	(n) 救生艇	(n) 救生員	(n) 一生,終身
lifeboat	(n) 救生艇	(n) 救生員	(n) 一生,終身	(n) 燈塔
lifeguard	(n) 救生員	(n) 一生,終身	(n) 燈塔	(n) 肢;臂
lifetime	(n) 一生,終身	(n) 燈塔	(n) 肢;臂	(n) 亞麻布製品(如床單,桌巾,內衣等)
lighthouse	(n) 燈塔	(n) 肢;臂	(n) 亞麻布製品(如床單,桌巾,內衣等)	(n) 口紅
limb	(n) 肢;臂	(n) 亞麻布製品(如床單,桌巾,內衣等)	(n) 口紅	(n) 廢棄物,零亂之物
linen	(n) 亞麻布製品(如床單,桌巾,內衣等)	(n) 口紅	(n) 廢棄物,零亂之物	(n) 肝臟
lipstick	(n) 口紅	(n) 廢棄物,零亂之物	(n) 肝臟	(n) 裝載;擔子;工作量
litter	(n) 廢棄物,零亂之物	(n) 肝臟	(n) 裝載;擔子;工作量	(n) 大廳;門廊
liver	(n) 肝臟	(n) 裝載;擔子;工作量	(n) 大廳;門廊	(n) 龍蝦
load	(n) 裝載;擔子;工作量	(n) 大廳;門廊	(n) 龍蝦	(n) 棒棒糖
lobby	(n) 大廳;門廊	(n) 龍蝦	(n) 棒棒糖	(n) (大寫)上帝,基督
lobster	(n) 龍蝦	(n) 棒棒糖	(n) (大寫)上帝,基督	(n) 揚聲器,擴聲器,喇叭
lollipop	(n) 棒棒糖	(n) (大寫)上帝,基督	(n) 揚聲器,擴聲器,喇叭	(n) 行李
lord	(n) (大寫)上帝,基督	(n) 揚聲器,擴聲器,喇叭	(n) 行李	(n) 催眠曲,搖籃曲
loudspeaker	(n) 揚聲器,擴聲器,喇叭	(n) 行李	(n) 催眠曲,搖籃曲	(n) 肺,肺臟
luggage	(n) 行李	(n) 催眠曲,搖籃曲	(n) 肺,肺臟	(n) 磁鐵,磁石
lullaby	(n) 催眠曲,搖籃曲	(n) 肺,肺臟	(n) 磁鐵,磁石	(n) 侍女;女僕
lung	(n) 肺,肺臟	(n) 磁鐵,磁石	(n) 侍女;女僕	(n) 主修
magnet	(n) 磁鐵,磁石	(n) 侍女;女僕	(n) 主修	(n) 過半數,大多數
maid	(n) 侍女;女僕	(n) 主修	(n) 過半數,大多數	(n) 大規模購物中心
major	(n) 主修	(n) 過半數,大多數	(n) 大規模購物中心	(n) 管理;經營;處理
majority	(n) 過半數,大多數	(n) 大規模購物中心	(n) 管理;經營;處理	(n) 經理
mall	(n) 大規模購物中心	(n) 管理;經營;處理	(n) 經理	(n) 人類
management	(n) 管理;經營;處理	(n) 經理	(n) 人類	(n) 禮貌;規矩;風俗,習慣
manager	(n) 經理	(n) 人類	(n) 禮貌;規矩;風俗,習慣	(n) 大理石
mankind	(n) 人類	(n) 禮貌;規矩;風俗,習慣	(n) 大理石	(n) 三月
manners	(n) 禮貌;規矩;風俗,習慣	(n) 大理石	(n) 三月	(n) 數學
marble	(n) 大理石	(n) 三月	(n) 數學	(n) 數學
March	(n) 三月	(n) 數學	(n) 數學	(n) 市長,鎮長
math	(n) 數學	(n) 數學	(n) 市長,鎮長	(n) 草地,牧草地
mathematics	(n) 數學	(n) 市長,鎮長	(n) 草地,牧草地	(n) 其時,其間
mayor	(n) 市長,鎮長	(n) 草地,牧草地	(n) 其時,其間	(n) 獎章,紀念章,勳章
meadow	(n) 草地,牧草地	(n) 其時,其間	(n) 獎章,紀念章,勳章	(n) 媒介物;新聞媒介
meanwhile	(n) 其時,其間	(n) 獎章,紀念章,勳章	(n) 媒介物;新聞媒介	(n) 中間;中庸;媒體;工具;傳播媒介
medal	(n) 獎章,紀念章,勳章	(n) 媒介物;新聞媒介	(n) 中間;中庸;媒體;工具;傳播媒介	(n) 會員身分
media	(n) 媒介物;新聞媒介	(n) 中間;中庸;媒體;工具;傳播媒介	(n) 會員身分	(n) 提及,說起
medium	(n) 中間;中庸;媒體;工具;傳播媒介	(n) 會員身分	(n) 提及,說起	(n) 商人
membership	(n) 會員身分	(n) 提及,說起	(n) 商人	(n) 混亂,凌亂的狀態
mention	(n) 提及,說起	(n) 商人	(n) 混亂,凌亂的狀態	(n) 麥克風
merchant	(n) 商人	(n) 混亂,凌亂的狀態	(n) 麥克風	(n) 微波爐
mess	(n) 混亂,凌亂的狀態	(n) 麥克風	(n) 微波爐	(n) 力量,威力
microphone	(n) 麥克風	(n) 微波爐	(n) 力量,威力	(n) 擴音器;麥克風
microwave	(n) 微波爐	(n) 力量,威力	(n) 擴音器;麥克風	(n) 磨坊;銑床;銑刀
might	(n) 力量,威力	(n) 擴音器;麥克風	(n) 磨坊;銑床;銑刀	(n) 百萬富翁
mike	(n) 擴音器;麥克風	(n) 磨坊;銑床;銑刀	(n) 百萬富翁	(n) 礦工
mill	(n) 磨坊;銑床;銑刀	(n) 百萬富翁	(n) 礦工	(n) 未成年者;副科
millionaire	(n) 百萬富翁	(n) 礦工	(n) 未成年者;副科	(n) 少數;少數民族;未成年
miner	(n) 礦工	(n) 未成年者;副科	(n) 少數;少數民族;未成年	(n) 奇蹟
minor	(n) 未成年者;副科	(n) 少數;少數民族;未成年	(n) 奇蹟	(n) 痛苦;不幸;悲慘;窮困
minority	(n) 少數;少數民族;未成年	(n) 奇蹟	(n) 痛苦;不幸;悲慘;窮困	(n) 飛彈,導彈
miracle	(n) 奇蹟	(n) 痛苦;不幸;悲慘;窮困	(n) 飛彈,導彈	(n) 使節團;使命,任務
misery	(n) 痛苦;不幸;悲慘;窮困	(n) 飛彈,導彈	(n) 使節團;使命,任務	(n) 薄霧;噴霧
missile	(n) 飛彈,導彈	(n) 使節團;使命,任務	(n) 薄霧;噴霧	(n) 混合,混和
mission	(n) 使節團;使命,任務	(n) 薄霧;噴霧	(n) 混合,混和	(n) 暴民,烏合之眾
mist	(n) 薄霧;噴霧	(n) 混合,混和	(n) 暴民,烏合之眾	(n) 濕氣
mixture	(n) 混合,混和	(n) 暴民,烏合之眾	(n) 濕氣	(n) 修道士;僧侶
mob	(n) 暴民,烏合之眾	(n) 濕氣	(n) 修道士;僧侶	(n) 心情,心境,情緒
moisture	(n) 濕氣	(n) 修道士;僧侶	(n) 心情,心境,情緒	(n) 拖把
monk	(n) 修道士;僧侶	(n) 心情,心境,情緒	(n) 拖把	(n) 道德;品行
mood	(n) 心情,心境,情緒	(n) 拖把	(n) 道德;品行	(n) 汽車旅館
mop	(n) 拖把	(n) 道德;品行	(n) 汽車旅館	(n) 馬達,發動機
moral	(n) 道德;品行	(n) 汽車旅館	(n) 馬達,發動機	(n) 謀殺,兇殺
motel	(n) 汽車旅館	(n) 馬達,發動機	(n) 謀殺,兇殺	(n) 肌;肌肉
motor	(n) 馬達,發動機	(n) 謀殺,兇殺	(n) 肌;肌肉	(n) 蘑菇
murder	(n) 謀殺,兇殺	(n) 肌;肌肉	(n) 蘑菇	(n) 歌舞劇;音樂片
muscle	(n) 肌;肌肉	(n) 蘑菇	(n) 歌舞劇;音樂片	(n) 神祕,祕密
mushroom	(n) 蘑菇	(n) 歌舞劇;音樂片	(n) 神祕,祕密	(n) 保姆
musical	(n) 歌舞劇;音樂片	(n) 神祕,祕密	(n) 保姆	(n) 打盹兒
mystery	(n) 神祕,祕密	(n) 保姆	(n) 打盹兒	(n) 土著,原住民
nanny	(n) 保姆	(n) 打盹兒	(n) 土著,原住民	(n) 海軍
nap	(n) 打盹兒	(n) 土著,原住民	(n) 海軍	(n) 必需品
native	(n) 土著,原住民	(n) 海軍	(n) 必需品	(n) 領帶
navy	(n) 海軍	(n) 必需品	(n) 領帶	(n) 近鄰
necessity	(n) 必需品	(n) 領帶	(n) 近鄰	(n) 神經
necktie	(n) 領帶	(n) 近鄰	(n) 神經	(n) 電視網;電腦網絡
neighborhood	(n) 近鄰	(n) 神經	(n) 電視網;電腦網絡	(n) 綽號,渾名
nerve	(n) 神經	(n) 電視網;電腦網絡	(n) 綽號,渾名	(n) 貴族
network	(n) 電視網;電腦網絡	(n) 綽號,渾名	(n) 貴族	(n) 小說家
nickname	(n) 綽號,渾名	(n) 貴族	(n) 小說家	(n) 修女;尼姑
noble	(n) 貴族	(n) 小說家	(n) 修女;尼姑	(n) 橡樹
novelist	(n) 小說家	(n) 修女;尼姑	(n) 橡樹	(n) 場合,時刻
nun	(n) 修女;尼姑	(n) 橡樹	(n) 場合,時刻	(n) 接線生;運算符號
oak	(n) 橡樹	(n) 場合,時刻	(n) 接線生;運算符號	(n) 機會;良機
occasion	(n) 場合,時刻	(n) 接線生;運算符號	(n) 機會;良機	(n) 對立物
operator	(n) 接線生;運算符號	(n) 機會;良機	(n) 對立物	(n) 起源;由來
opportunity	(n) 機會;良機	(n) 對立物	(n) 起源;由來	(n) 原著;原畫;原版
opposite	(n) 對立物	(n) 起源;由來	(n) 原著;原畫;原版	(n) 孤兒
origin	(n) 起源;由來	(n) 原著;原畫;原版	(n) 孤兒	(n) 外形;輪廓
original	(n) 原著;原畫;原版	(n) 孤兒	(n) 外形;輪廓	(n) 外套,大衣
orphan	(n) 孤兒	(n) 外形;輪廓	(n) 外套,大衣	(n) 物主身分;所有權
outline	(n) 外形;輪廓	(n) 外套,大衣	(n) 物主身分;所有權	(n) 墊,襯墊;護墊;鞍墊
overcoat	(n) 外套,大衣	(n) 物主身分;所有權	(n) 墊,襯墊;護墊;鞍墊	(n) 桶;提桶
ownership	(n) 物主身分;所有權	(n) 墊,襯墊;護墊;鞍墊	(n) 桶;提桶	(n) 伙伴;好友
pad	(n) 墊,襯墊;護墊;鞍墊	(n) 桶;提桶	(n) 伙伴;好友	(n) 皇宮,宮殿
pail	(n) 桶;提桶	(n) 伙伴;好友	(n) 皇宮,宮殿	(n) 薄煎餅,薄烤餅
pal	(n) 伙伴;好友	(n) 皇宮,宮殿	(n) 薄煎餅,薄烤餅	(n) 恐慌,驚慌
palace	(n) 皇宮,宮殿	(n) 薄煎餅,薄烤餅	(n) 恐慌,驚慌	(n) 行列,遊行
pancake	(n) 薄煎餅,薄烤餅	(n) 恐慌,驚慌	(n) 行列,遊行	(n) 樂園
panic	(n) 恐慌,驚慌	(n) 行列,遊行	(n) 樂園	(n) 小包,包裹
parade	(n) 行列,遊行	(n) 樂園	(n) 小包,包裹	(n) 通行;走廊,過道
paradise	(n) 樂園	(n) 小包,包裹	(n) 通行;走廊,過道	(n) 熱情,激情;酷愛
parcel	(n) 小包,包裹	(n) 通行;走廊,過道	(n) 熱情,激情;酷愛	(n) 護照;通行證;執照
passage	(n) 通行;走廊,過道	(n) 熱情,激情;酷愛	(n) 護照;通行證;執照	(n) 密碼;口令;暗語
passion	(n) 熱情,激情;酷愛	(n) 護照;通行證;執照	(n) 密碼;口令;暗語	(n) 耐心;忍耐;耐性;毅力
passport	(n) 護照;通行證;執照	(n) 密碼;口令;暗語	(n) 耐心;忍耐;耐性;毅力	(n) 暫停,間歇;躊躇,猶豫
password	(n) 密碼;口令;暗語	(n) 耐心;忍耐;耐性;毅力	(n) 暫停,間歇;躊躇,猶豫	(n) 鋪築過的地面;人行道
patience	(n) 耐心;忍耐;耐性;毅力	(n) 暫停,間歇;躊躇,猶豫	(n) 鋪築過的地面;人行道	(n) 腳爪;爪子
pause	(n) 暫停,間歇;躊躇,猶豫	(n) 鋪築過的地面;人行道	(n) 腳爪;爪子	(n) 薪俸;報酬;報償;懲罰
pavement	(n) 鋪築過的地面;人行道	(n) 腳爪;爪子	(n) 薪俸;報酬;報償;懲罰	(n) 豌豆
paw	(n) 腳爪;爪子	(n) 薪俸;報酬;報償;懲罰	(n) 豌豆	(n) 山頂;頂端
pay	(n) 薪俸;報酬;報償;懲罰	(n) 豌豆	(n) 山頂;頂端	(n) 珍珠
pea	(n) 豌豆	(n) 山頂;頂端	(n) 珍珠	(n) (水果,蔬菜等的)皮;(對蝦等的)殼
peak	(n) 山頂;頂端	(n) 珍珠	(n) (水果,蔬菜等的)皮;(對蝦等的)殼	(n) 窺視;偷看;一瞥
pearl	(n) 珍珠	(n) (水果,蔬菜等的)皮;(對蝦等的)殼	(n) 窺視;偷看;一瞥	(n) 便士;一便士硬幣
peel	(n) (水果,蔬菜等的)皮;(對蝦等的)殼	(n) 窺視;偷看;一瞥	(n) 便士;一便士硬幣	(n) 演出;演奏;表演
peep	(n) 窺視;偷看;一瞥	(n) 便士;一便士硬幣	(n) 演出;演奏;表演	(n) 允許,許可,同意
penny	(n) 便士;一便士硬幣	(n) 演出;演奏;表演	(n) 允許,許可,同意	(n) 許可證,執照
performance	(n) 演出;演奏;表演	(n) 允許,許可,同意	(n) 許可證,執照	(n) 人格,品格
permission	(n) 允許,許可,同意	(n) 許可證,執照	(n) 人格,品格	(n) ,害蟲;有害的植物
permit	(n) 許可證,執照	(n) 人格,品格	(n) ,害蟲;有害的植物	(n) 醃黃瓜等的泡菜;鹽滷
personality	(n) 人格,品格	(n) ,害蟲;有害的植物	(n) 醃黃瓜等的泡菜;鹽滷	(n) 藥丸,藥片;(女用)口服避孕藥
pest	(n) ,害蟲;有害的植物	(n) 醃黃瓜等的泡菜;鹽滷	(n) 藥丸,藥片;(女用)口服避孕藥	(n) (飛機等的)駕駛員
pickle	(n) 醃黃瓜等的泡菜;鹽滷	(n) 藥丸,藥片;(女用)口服避孕藥	(n) (飛機等的)駕駛員	(n) 松樹
pill	(n) 藥丸,藥片;(女用)口服避孕藥	(n) (飛機等的)駕駛員	(n) 松樹	(n) 品脫(英美容量或液量名)
pilot	(n) (飛機等的)駕駛員	(n) 松樹	(n) 品脫(英美容量或液量名)	(n) 窪坑,凹處;地窖
pine	(n) 松樹	(n) 品脫(英美容量或液量名)	(n) 窪坑,凹處;地窖	(n) 憐憫;同情;憾事
pint	(n) 品脫(英美容量或液量名)	(n) 窪坑,凹處;地窖	(n) 憐憫;同情;憾事	(n) 塑膠;塑膠製品;信用卡
pit	(n) 窪坑,凹處;地窖	(n) 憐憫;同情;憾事	(n) 塑膠;塑膠製品;信用卡	(n) 豐富;充足;大量
pity	(n) 憐憫;同情;憾事	(n) 塑膠;塑膠製品;信用卡	(n) 豐富;充足;大量	(n) 塞子,栓;堵塞物
plastic	(n) 塑膠;塑膠製品;信用卡	(n) 豐富;充足;大量	(n) 塞子,栓;堵塞物	(n) 洋李; 梅子
plenty	(n) 豐富;充足;大量	(n) 塞子,栓;堵塞物	(n) 洋李; 梅子	(n) 管子工,鉛管工
plug	(n) 塞子,栓;堵塞物	(n) 洋李; 梅子	(n) 管子工,鉛管工	(n) 柱;竿
plum	(n) 洋李; 梅子	(n) 管子工,鉛管工	(n) 柱;竿	(n) 政客
plumber	(n) 管子工,鉛管工	(n) 柱;竿	(n) 政客	(n) 黨派關係,手腕,權術
pole	(n) 柱;竿	(n) 政客	(n) 黨派關係,手腕,權術	(n) 民意測驗;投票,選舉
politician	(n) 政客	(n) 黨派關係,手腕,權術	(n) 民意測驗;投票,選舉	(n) 矮種馬;小馬
politics	(n) 黨派關係,手腕,權術	(n) 民意測驗;投票,選舉	(n) 矮種馬;小馬	(n) 瓷;(總稱)瓷器
poll	(n) 民意測驗;投票,選舉	(n) 矮種馬;小馬	(n) 瓷;(總稱)瓷器	(n) (一)部分
pony	(n) 矮種馬;小馬	(n) 瓷;(總稱)瓷器	(n) (一)部分	(n) 肖像,畫像;相片
porcelain	(n) 瓷;(總稱)瓷器	(n) (一)部分	(n) 肖像,畫像;相片	(n) 郵資,郵費
portion	(n) (一)部分	(n) 肖像,畫像;相片	(n) 郵資,郵費	(n) 招貼,海報,廣告(畫)
portrait	(n) 肖像,畫像;相片	(n) 郵資,郵費	(n) 招貼,海報,廣告(畫)	(n) 延期;延緩
postage	(n) 郵資,郵費	(n) 招貼,海報,廣告(畫)	(n) 延期;延緩	(n) 陶器
poster	(n) 招貼,海報,廣告(畫)	(n) 延期;延緩	(n) 陶器	(n) 貧窮,貧困
postponement	(n) 延期;延緩	(n) 陶器	(n) 貧窮,貧困	(n) 粉
pottery	(n) 陶器	(n) 貧窮,貧困	(n) 粉	(n) 祈禱,禱告
poverty	(n) 貧窮,貧困	(n) 粉	(n) 祈禱,禱告	(n) 準備,預備
powder	(n) 粉	(n) 祈禱,禱告	(n) 準備,預備	(n) 壓力
prayer	(n) 祈禱,禱告	(n) 準備,預備	(n) 壓力	(n) 牧師;神父
preparation	(n) 準備,預備	(n) 壓力	(n) 牧師;神父	(n) 過程,進程
pressure	(n) 壓力	(n) 牧師;神父	(n) 過程,進程	(n) 產品
priest	(n) 牧師;神父	(n) 過程,進程	(n) 產品	(n) 利潤,盈利;收益
process	(n) 過程,進程	(n) 產品	(n) 利潤,盈利;收益	(n) 節目
product	(n) 產品	(n) 利潤,盈利;收益	(n) 節目	(n) 證據;物證;證明
profit	(n) 利潤,盈利;收益	(n) 節目	(n) 證據;物證;證明	(n) 財產,資產
program	(n) 節目	(n) 證據;物證;證明	(n) 財產,資產	(n) 提議;計劃;提案
proof	(n) 證據;物證;證明	(n) 財產,資產	(n) 提議;計劃;提案	(n) 保護
property	(n) 財產,資產	(n) 提議;計劃;提案	(n) 保護	(n) 酒吧
proposal	(n) 提議;計劃;提案	(n) 保護	(n) 酒吧	(n) 一種用酒,果汁,香料等調和的飲料
protection	(n) 保護	(n) 酒吧	(n) 一種用酒,果汁,香料等調和的飲料	(n) 爭吵
pub	(n) 酒吧	(n) 一種用酒,果汁,香料等調和的飲料	(n) 爭吵	(n) 引文;報價
punch	(n) 一種用酒,果汁,香料等調和的飲料	(n) 爭吵	(n) 引文;報價	(n) 雷達
quarrel	(n) 爭吵	(n) 引文;報價	(n) 雷達	(n) 破布;抹布;破爛衣衫
quote	(n) 引文;報價	(n) 雷達	(n) 破布;抹布;破爛衣衫	(n) 葡萄乾
radar	(n) 雷達	(n) 破布;抹布;破爛衣衫	(n) 葡萄乾	(n) 等級;地位,身分
rag	(n) 破布;抹布;破爛衣衫	(n) 葡萄乾	(n) 等級;地位,身分	(n) 比率;價格
raisin	(n) 葡萄乾	(n) 等級;地位,身分	(n) 比率;價格	(n) 光線;輻射線
rank	(n) 等級;地位,身分	(n) 比率;價格	(n) 光線;輻射線	(n) 剃刀
rate	(n) 比率;價格	(n) 光線;輻射線	(n) 剃刀	(n) 反應,感應
ray	(n) 光線;輻射線	(n) 剃刀	(n) 反應,感應	(n) 收據,收條
razor	(n) 剃刀	(n) 反應,感應	(n) 收據,收條	(n) 受領人;收件人,收款人
reaction	(n) 反應,感應	(n) 收據,收條	(n) 受領人;收件人,收款人	(n) 錄影機;錄音機
receipt	(n) 收據,收條	(n) 受領人;收件人,收款人	(n) 錄影機;錄音機	(n) 懊悔,悔恨;抱歉,遺憾;哀悼
receiver	(n) 受領人;收件人,收款人	(n) 錄影機;錄音機	(n) 懊悔,悔恨;抱歉,遺憾;哀悼	(n) 發行,發表;釋放,解放
recorder	(n) 錄影機;錄音機	(n) 懊悔,悔恨;抱歉,遺憾;哀悼	(n) 發行,發表;釋放,解放	(n) 緩和,減輕;解除
regret	(n) 懊悔,悔恨;抱歉,遺憾;哀悼	(n) 發行,發表;釋放,解放	(n) 緩和,減輕;解除	(n) 宗教;宗教信仰
release	(n) 發行,發表;釋放,解放	(n) 緩和,減輕;解除	(n) 宗教;宗教信仰	(n) 租金,租費
relief	(n) 緩和,減輕;解除	(n) 宗教;宗教信仰	(n) 租金,租費	(n) 修理
religion	(n) 宗教;宗教信仰	(n) 租金,租費	(n) 修理	(n) 取代;接替
rent	(n) 租金,租費	(n) 修理	(n) 取代;接替	(n) 代表,代理人
repair	(n) 修理	(n) 取代;接替	(n) 代表,代理人	(n) 共和國;共和政體
replacement	(n) 取代;接替	(n) 代表,代理人	(n) 共和國;共和政體	(n) 要求,請求
representative	(n) 代表,代理人	(n) 共和國;共和政體	(n) 要求,請求	(n) 儲備(物);儲備金;保留(物);儲藏量
republic	(n) 共和國;共和政體	(n) 要求,請求	(n) 儲備(物);儲備金;保留(物);儲藏量	(n) 資源;物力,財力
request	(n) 要求,請求	(n) 儲備(物);儲備金;保留(物);儲藏量	(n) 資源;物力,財力	(n) 回答;答覆
reserve	(n) 儲備(物);儲備金;保留(物);儲藏量	(n) 資源;物力,財力	(n) 回答;答覆	(n) 責任
resource	(n) 資源;物力,財力	(n) 回答;答覆	(n) 責任	(n) 緞帶;絲帶
response	(n) 回答;答覆	(n) 責任	(n) 緞帶;絲帶	(n) 謎,謎語
responsibility	(n) 責任	(n) 緞帶;絲帶	(n) 謎,謎語	(n) 危險,風險
ribbon	(n) 緞帶;絲帶	(n) 謎,謎語	(n) 危險,風險	(n) 吼,嘯;怒號;喧鬧聲
riddle	(n) 謎,謎語	(n) 危險,風險	(n) 吼,嘯;怒號;喧鬧聲	(n) 烘烤;烤肉
risk	(n) 危險,風險	(n) 吼,嘯;怒號;喧鬧聲	(n) 烘烤;烤肉	(n) 搶劫者,強盜
roar	(n) 吼,嘯;怒號;喧鬧聲	(n) 烘烤;烤肉	(n) 搶劫者,強盜	(n) 搶劫;盜取;搶劫案
roast	(n) 烘烤;烤肉	(n) 搶劫者,強盜	(n) 搶劫;盜取;搶劫案	(n) 長袍,浴衣,睡袍;學士服
robber	(n) 搶劫者,強盜	(n) 搶劫;盜取;搶劫案	(n) 長袍,浴衣,睡袍;學士服	(n) 飛彈,火箭
robbery	(n) 搶劫;盜取;搶劫案	(n) 長袍,浴衣,睡袍;學士服	(n) 飛彈,火箭	(n) 浪漫的人;愛幻想者
robe	(n) 長袍,浴衣,睡袍;學士服	(n) 飛彈,火箭	(n) 浪漫的人;愛幻想者	(n) 腐爛,腐壞;腐敗,墮落
rocket	(n) 飛彈,火箭	(n) 浪漫的人;愛幻想者	(n) 腐爛,腐壞;腐敗,墮落	(n) 高低不平的地面;粗製品;梗概;草圖
romantic	(n) 浪漫的人;愛幻想者	(n) 腐爛,腐壞;腐敗,墮落	(n) 高低不平的地面;粗製品;梗概;草圖	(n) 例行公事
rot	(n) 腐爛,腐壞;腐敗,墮落	(n) 高低不平的地面;粗製品;梗概;草圖	(n) 例行公事	(n) 小地毯;毛皮地毯
rough	(n) 高低不平的地面;粗製品;梗概;草圖	(n) 例行公事	(n) 小地毯;毛皮地毯	(n) 謠言,謠傳
routine	(n) 例行公事	(n) 小地毯;毛皮地毯	(n) 謠言,謠傳	(n) 鏽,鐵鏽
rug	(n) 小地毯;毛皮地毯	(n) 謠言,謠傳	(n) 鏽,鐵鏽	(n) 袋;粗布袋
rumor	(n) 謠言,謠傳	(n) 鏽,鐵鏽	(n) 袋;粗布袋	(n) 理由;緣故;利益
rust	(n) 鏽,鐵鏽	(n) 袋;粗布袋	(n) 理由;緣故;利益	(n) 淺碟
sack	(n) 袋;粗布袋	(n) 理由;緣故;利益	(n) 淺碟	(n) 香腸,臘腸
sake	(n) 理由;緣故;利益	(n) 淺碟	(n) 香腸,臘腸	(n) 挽救;節儉,節約;儲金
saucer	(n) 淺碟	(n) 香腸,臘腸	(n) 挽救;節儉,節約;儲金	(n) 尺度;等級;級別
sausage	(n) 香腸,臘腸	(n) 挽救;節儉,節約;儲金	(n) 尺度;等級;級別	(n) 稻草人;威嚇物
saving	(n) 挽救;節儉,節約;儲金	(n) 尺度;等級;級別	(n) 稻草人;威嚇物	(n) 圍巾
scale	(n) 尺度;等級;級別	(n) 稻草人;威嚇物	(n) 圍巾	(n) 消散;分散
scarecrow	(n) 稻草人;威嚇物	(n) 圍巾	(n) 消散;分散	(n) 清單;目錄;時間表;課程表
scarf	(n) 圍巾	(n) 消散;分散	(n) 清單;目錄;時間表;課程表	(n) 學者
