tone	(n) 音色,音調;色調	(adj) 能;有能力的	(adj) 上文的,前述的	(adj) 成年的
feed	(n) (動物或嬰兒的)一餐;飼料	(n) 觸覺;手感;觸,摸;感覺,氣氛	(n) 感覺	(n) 感覺,觸覺
feel	(n) 觸覺;手感;觸,摸;感覺,氣氛	(n) 感覺	(n) 感覺,觸覺	(n) 十五
feeling	(n) 感覺	(n) 感覺,觸覺	(n) 十五	(n) 五十
feelings	(n) 感覺,觸覺	(n) 十五	(n) 五十	(n) 打架;戰鬥
fifteen	(n) 十五	(n) 五十	(n) 打架;戰鬥	(n) 填滿的量;裝填物
fifty	(n) 五十	(n) 打架;戰鬥	(n) 填滿的量;裝填物	(n) 決賽;期末考;(當日報紙的)末版
fight	(n) 打架;戰鬥	(n) 填滿的量;裝填物	(n) 決賽;期末考;(當日報紙的)末版	(n) 發現;發現物
fill	(n) 填滿的量;裝填物	(n) 決賽;期末考;(當日報紙的)末版	(n) 發現;發現物	(n) 好天氣; 罰金,罰款
final	(n) 決賽;期末考;(當日報紙的)末版	(n) 發現;發現物	(n) 好天氣; 罰金,罰款	(n) 手指
find	(n) 發現;發現物	(n) 好天氣; 罰金,罰款	(n) 手指	(n) 結束;(傢具等)末道漆
fine	(n) 好天氣; 罰金,罰款	(n) 手指	(n) 結束;(傢具等)末道漆	(n) 火
finger	(n) 手指	(n) 結束;(傢具等)末道漆	(n) 火	(n) 第一;第一個;第一名;優等;開始;開始時間
finish	(n) 結束;(傢具等)末道漆	(n) 火	(n) 第一;第一個;第一名;優等;開始;開始時間	(n) 魚
fire	(n) 火	(n) 第一;第一個;第一名;優等;開始;開始時間	(n) 魚	(n) 五
first	(n) 第一;第一個;第一名;優等;開始;開始時間	(n) 魚	(n) 五	(n) 地板;樓;室內地上
fish	(n) 魚	(n) 五	(n) 地板;樓;室內地上	(n) 花
five	(n) 五	(n) 地板;樓;室內地上	(n) 花	(n) 蒼蠅
floor	(n) 地板;樓;室內地上	(n) 花	(n) 蒼蠅	(n) 霧
flower	(n) 花	(n) 蒼蠅	(n) 霧	(n) 食物
fly	(n) 蒼蠅	(n) 霧	(n) 食物	(n) 腳;一尺長
fog	(n) 霧	(n) 食物	(n) 腳;一尺長	(n) 力量;暴力
food	(n) 食物	(n) 腳;一尺長	(n) 力量;暴力	(n) 森林
foot	(n) 腳;一尺長	(n) 力量;暴力	(n) 森林	(n) 叉子
force	(n) 力量;暴力	(n) 森林	(n) 叉子	(n) 四十
forest	(n) 森林	(n) 叉子	(n) 四十	(n) 四
fork	(n) 叉子	(n) 四十	(n) 四	(n) 十四
forty	(n) 四十	(n) 四	(n) 十四	(n) 星期五
four	(n) 四	(n) 十四	(n) 星期五	(n) 朋友
fourteen	(n) 十四	(n) 星期五	(n) 朋友	(n) 青蛙
Friday	(n) 星期五	(n) 朋友	(n) 青蛙	(n) 前方
friend	(n) 朋友	(n) 青蛙	(n) 前方	(n) 水果
frog	(n) 青蛙	(n) 前方	(n) 水果	(n) 樂趣
front	(n) 前方	(n) 水果	(n) 樂趣	(n) 比賽;遊戲
fruit	(n) 水果	(n) 樂趣	(n) 比賽;遊戲	(n) 花園
fun	(n) 樂趣	(n) 比賽;遊戲	(n) 花園	(n) 鬼
game	(n) 比賽;遊戲	(n) 花園	(n) 鬼	(n) 禮物
garden	(n) 花園	(n) 鬼	(n) 禮物	(n) 女孩
ghost	(n) 鬼	(n) 禮物	(n) 女孩	(n) 玻璃杯;玻璃
gift	(n) 禮物	(n) 女孩	(n) 玻璃杯;玻璃	(n) 眼鏡
girl	(n) 女孩	(n) 玻璃杯;玻璃	(n) 眼鏡	(n) 輪到的機會;嘗試
glass	(n) 玻璃杯;玻璃	(n) 眼鏡	(n) 輪到的機會;嘗試	(n) 上帝
glasses	(n) 眼鏡	(n) 輪到的機會;嘗試	(n) 上帝	(n) 女神
go	(n) 輪到的機會;嘗試	(n) 上帝	(n) 女神	(n) 黃金
god	(n) 上帝	(n) 女神	(n) 黃金	(n) 利益;好處;優點
goddess	(n) 女神	(n) 黃金	(n) 利益;好處;優點	(n) 告別,再見,道別的話
gold	(n) 黃金	(n) 利益;好處;優點	(n) 告別,再見,道別的話	(n) 告別
good	(n) 利益;好處;優點	(n) 告別,再見,道別的話	(n) 告別	(n) 鵝
good-by	(n) 告別,再見,道別的話	(n) 告別	(n) 鵝	(n) 孫子;孫女;外孫;外孫女
good-bye	(n) 告別	(n) 鵝	(n) 孫子;孫女;外孫;外孫女	(n) 孫女;外孫女
goose	(n) 鵝	(n) 孫子;孫女;外孫;外孫女	(n) 孫女;外孫女	(n) 祖父;外祖父
grandchild	(n) 孫子;孫女;外孫;外孫女	(n) 孫女;外孫女	(n) 祖父;外祖父	(n) 祖母;外祖母
granddaughter	(n) 孫女;外孫女	(n) 祖父;外祖父	(n) 祖母;外祖母	(n) 祖母;外祖母
grandfather	(n) 祖父;外祖父	(n) 祖母;外祖母	(n) 祖母;外祖母	(n) 祖父;外祖父
grandma	(n) 祖母;外祖母	(n) 祖母;外祖母	(n) 祖父;外祖父	(n) 孫子;外孫
grandmother	(n) 祖母;外祖母	(n) 祖父;外祖父	(n) 孫子;外孫	(n) 草
grandpa	(n) 祖父;外祖父	(n) 孫子;外孫	(n) 草	(n) 偉人們,大人物們
grandson	(n) 孫子;外孫	(n) 草	(n) 偉人們,大人物們	(n) 地面
grass	(n) 草	(n) 偉人們,大人物們	(n) 地面	(n) 一群
great	(n) 偉人們,大人物們	(n) 地面	(n) 一群	(n) 猜測
ground	(n) 地面	(n) 一群	(n) 猜測	(n) 客人
group	(n) 一群	(n) 猜測	(n) 客人	(n) 嚮導
guess	(n) 猜測	(n) 客人	(n) 嚮導	(n) 槍
guest	(n) 客人	(n) 嚮導	(n) 槍	(n) 頭髮
guide	(n) 嚮導	(n) 槍	(n) 頭髮	(n) 理髮
gun	(n) 槍	(n) 頭髮	(n) 理髮	(n) 一半
hair	(n) 頭髮	(n) 理髮	(n) 一半	(n) 火腿
haircut	(n) 理髮	(n) 一半	(n) 火腿	(n) 手
half	(n) 一半	(n) 火腿	(n) 手	(n) 帽子
ham	(n) 火腿	(n) 手	(n) 帽子	(n) 仇恨,憎恨;厭惡
hand	(n) 手	(n) 帽子	(n) 仇恨,憎恨;厭惡	(n) 頭;首長
hat	(n) 帽子	(n) 仇恨,憎恨;厭惡	(n) 頭;首長	(n) 健康
hate	(n) 仇恨,憎恨;厭惡	(n) 頭;首長	(n) 健康	(n) 心臟
head	(n) 頭;首長	(n) 健康	(n) 心臟	(n) 熱氣
health	(n) 健康	(n) 心臟	(n) 熱氣	(n) 表示問候的叫聲
heart	(n) 心臟	(n) 熱氣	(n) 表示問候的叫聲	(n) 幫助;幫手,助手
heat	(n) 熱氣	(n) 表示問候的叫聲	(n) 幫助;幫手,助手	(n) 這裡;今世
hello	(n) 表示問候的叫聲	(n) 幫助;幫手,助手	(n) 這裡;今世	(n) 高水準;高峰;天空
help	(n) 幫助;幫手,助手	(n) 這裡;今世	(n) 高水準;高峰;天空	(n) 丘陵
here	(n) 這裡;今世	(n) 高水準;高峰;天空	(n) 丘陵	(n) 歷史
high	(n) 高水準;高峰;天空	(n) 丘陵	(n) 歷史	(n) 打擊;成功而風行一時的事物;安打
hill	(n) 丘陵	(n) 歷史	(n) 打擊;成功而風行一時的事物;安打	(n) 抓住,握住;延遲;延期;耽擱
history	(n) 歷史	(n) 打擊;成功而風行一時的事物;安打	(n) 抓住,握住;延遲;延期;耽擱	(n) 洞
hit	(n) 打擊;成功而風行一時的事物;安打	(n) 抓住,握住;延遲;延期;耽擱	(n) 洞	(n) 假日
hold	(n) 抓住,握住;延遲;延期;耽擱	(n) 洞	(n) 假日	(n) 家
hole	(n) 洞	(n) 假日	(n) 家	(n) 家庭作業
holiday	(n) 假日	(n) 家	(n) 家庭作業	(n) 希望,期望
home	(n) 家	(n) 家庭作業	(n) 希望,期望	(n) 馬
homework	(n) 家庭作業	(n) 希望,期望	(n) 馬	(n) 小時
hope	(n) 希望,期望	(n) 馬	(n) 小時	(n) 房子
horse	(n) 馬	(n) 小時	(n) 房子	(n) 人
hour	(n) 小時	(n) 房子	(n) 人	(n) 一百
house	(n) 房子	(n) 人	(n) 一百	(n) (精神上的)創傷;傷;痛
human	(n) 人	(n) 一百	(n) (精神上的)創傷;傷;痛	(n) 丈夫
hundred	(n) 一百	(n) (精神上的)創傷;傷;痛	(n) 丈夫	(n) 冰
hurt	(n) (精神上的)創傷;傷;痛	(n) 丈夫	(n) 冰	(n) 主意
husband	(n) 丈夫	(n) 冰	(n) 主意	(n) 英吋
ice	(n) 冰	(n) 主意	(n) 英吋	(n) 內部,裡面;內幕
idea	(n) 主意	(n) 英吋	(n) 內部,裡面;內幕	(n) 興趣
inch	(n) 英吋	(n) 內部,裡面;內幕	(n) 興趣	(n) 鐵;熨斗
inside	(n) 內部,裡面;內幕	(n) 興趣	(n) 鐵;熨斗	(n) 一月
interest	(n) 興趣	(n) 鐵;熨斗	(n) 一月	(n) 職業;工作
iron	(n) 鐵;熨斗	(n) 一月	(n) 職業;工作	(n) 接合點;接連處
January	(n) 一月	(n) 職業;工作	(n) 接合點;接連處	(n) 笑話
job	(n) 職業;工作	(n) 接合點;接連處	(n) 笑話	(n) 歡喜;樂趣
join	(n) 接合點;接連處	(n) 笑話	(n) 歡喜;樂趣	(n) 果汁
joke	(n) 笑話	(n) 歡喜;樂趣	(n) 果汁	(n) 七月
joy	(n) 歡喜;樂趣	(n) 果汁	(n) 七月	(n) 跳躍;暴漲
juice	(n) 果汁	(n) 七月	(n) 跳躍;暴漲	(n) 六月
July	(n) 七月	(n) 跳躍;暴漲	(n) 六月	(n) 生活費,生計
jump	(n) 跳躍;暴漲	(n) 六月	(n) 生活費,生計	(n) 保管人;守衛
June	(n) 六月	(n) 生活費,生計	(n) 保管人;守衛	(n) 鑰匙
keep	(n) 生活費,生計	(n) 保管人;守衛	(n) 鑰匙	(n) 踢;反衝,後座力;刺激,快感
keeper	(n) 保管人;守衛	(n) 鑰匙	(n) 踢;反衝,後座力;刺激,快感	(n) 小孩
key	(n) 鑰匙	(n) 踢;反衝,後座力;刺激,快感	(n) 小孩	(n) 獵獲物;屠殺
kick	(n) 踢;反衝,後座力;刺激,快感	(n) 小孩	(n) 獵獲物;屠殺	(n) 種類
kid	(n) 小孩	(n) 獵獲物;屠殺	(n) 種類	(n) 國王
kill	(n) 獵獲物;屠殺	(n) 種類	(n) 國王	(n) 吻
kind	(n) 種類	(n) 國王	(n) 吻	(n) 廚房
king	(n) 國王	(n) 吻	(n) 廚房	(n) 風箏
kiss	(n) 吻	(n) 廚房	(n) 風箏	(n) 小貓
kitchen	(n) 廚房	(n) 風箏	(n) 小貓	(n) 小貓
kite	(n) 風箏	(n) 小貓	(n) 小貓	(n) 膝蓋
kitten	(n) 小貓	(n) 小貓	(n) 膝蓋	(n) 刀子
kitty	(n) 小貓	(n) 膝蓋	(n) 刀子	(n) 缺乏
knee	(n) 膝蓋	(n) 刀子	(n) 缺乏	(n) 淑女
knife	(n) 刀子	(n) 缺乏	(n) 淑女	(n) 湖
lack	(n) 缺乏	(n) 淑女	(n) 湖	(n) 小羊
lady	(n) 淑女	(n) 湖	(n) 小羊	(n) 燈
lake	(n) 湖	(n) 小羊	(n) 燈	(n) 陸地
lamb	(n) 小羊	(n) 燈	(n) 陸地	(n) 最後的人(或東西);最後;上回
lamp	(n) 燈	(n) 陸地	(n) 最後的人(或東西);最後;上回	(n) 笑,笑聲
land	(n) 陸地	(n) 最後的人(或東西);最後;上回	(n) 笑,笑聲	(n) 法律
last	(n) 最後的人(或東西);最後;上回	(n) 笑,笑聲	(n) 法律	(n) 領袖
laugh	(n) 笑,笑聲	(n) 法律	(n) 領袖	(n) 樹葉
law	(n) 法律	(n) 領袖	(n) 樹葉	(n) 准假;休假
leader	(n) 領袖	(n) 樹葉	(n) 准假;休假	(n) 左,左邊;激進分子們
leaf	(n) 樹葉	(n) 准假;休假	(n) 左,左邊;激進分子們	(n) 腿
leave	(n) 准假;休假	(n) 左,左邊;激進分子們	(n) 腿	(n) 課;教訓
left	(n) 左,左邊;激進分子們	(n) 腿	(n) 課;教訓	(n) 信;字母
leg	(n) 腿	(n) 課;教訓	(n) 信;字母	(n) 水平線
lesson	(n) 課;教訓	(n) 信;字母	(n) 水平線	(n) 謊言
letter	(n) 信;字母	(n) 水平線	(n) 謊言	(n) 人生;生命
level	(n) 水平線	(n) 謊言	(n) 人生;生命	(n) 提,吊,升;鼓舞
lie	(n) 謊言	(n) 人生;生命	(n) 提,吊,升;鼓舞	(n) 光線;燈
life	(n) 人生;生命	(n) 提,吊,升;鼓舞	(n) 光線;燈	(n) 愛好
lift	(n) 提,吊,升;鼓舞	(n) 光線;燈	(n) 愛好	(n) 百合花
light	(n) 光線;燈	(n) 愛好	(n) 百合花	(n) 線;隊伍
like	(n) 愛好	(n) 百合花	(n) 線;隊伍	(n) 獅子
lily	(n) 百合花	(n) 線;隊伍	(n) 獅子	(n) 嘴唇
line	(n) 線;隊伍	(n) 獅子	(n) 嘴唇	(n) 單子
lion	(n) 獅子	(n) 嘴唇	(n) 單子	(n) 沒有多少;短時間;短距離
lip	(n) 嘴唇	(n) 單子	(n) 沒有多少;短時間;短距離	(n)  看;瞥; 眼神;表情
list	(n) 單子	(n) 沒有多少;短時間;短距離	(n)  看;瞥; 眼神;表情	(n) 很多,多數;一批;一塊地
little	(n) 沒有多少;短時間;短距離	(n)  看;瞥; 眼神;表情	(n) 很多,多數;一批;一塊地	(n) 愛
look	(n)  看;瞥; 眼神;表情	(n) 很多,多數;一批;一塊地	(n) 愛	(n) 低水平,低點;;低速
lot	(n) 很多,多數;一批;一塊地	(n) 愛	(n) 低水平,低點;;低速	(n) 午餐
love	(n) 愛	(n) 低水平,低點;;低速	(n) 午餐	(n) 午餐,(正式的)午餐會
low	(n) 低水平,低點;;低速	(n) 午餐	(n) 午餐,(正式的)午餐會	(n) 媽
lunch	(n) 午餐	(n) 午餐,(正式的)午餐會	(n) 媽	(n) 機器
luncheon	(n) 午餐,(正式的)午餐會	(n) 媽	(n) 機器	(n) 信件
ma	(n) 媽	(n) 機器	(n) 信件	(n) (兒語)媽媽
machine	(n) 機器	(n) 信件	(n) (兒語)媽媽	(n) mama
mail	(n) 信件	(n) (兒語)媽媽	(n) mama	(n) 男人; 人類
mama	(n) (兒語)媽媽	(n) mama	(n) 男人; 人類	(n) 地圖
mamma	(n) mama	(n) 男人; 人類	(n) 地圖	(n) 市場
man	(n) 男人; 人類	(n) 地圖	(n) 市場	(n) 主人
map	(n) 地圖	(n) 市場	(n) 主人	(n) 事情
market	(n) 市場	(n) 主人	(n) 事情	(n) 五月
master	(n) 主人	(n) 事情	(n) 五月	(n) 肉類
matter	(n) 事情	(n) 五月	(n) 肉類	(n) 集會;競賽大會
May	(n) 五月	(n) 肉類	(n) 集會;競賽大會	(n) 中央
meat	(n) 肉類	(n) 集會;競賽大會	(n) 中央	(n) 英哩
meet	(n) 集會;競賽大會	(n) 中央	(n) 英哩	(n) 牛奶
middle	(n) 中央	(n) 英哩	(n) 牛奶	(n) 心智
mile	(n) 英哩	(n) 牛奶	(n) 心智	(n) 分鐘
milk	(n) 牛奶	(n) 心智	(n) 分鐘	(n) 少女
mind	(n) 心智	(n) 分鐘	(n) 少女	(n) 錯誤
minute	(n) 分鐘	(n) 少女	(n) 錯誤	(n) 先生
miss	(n) 少女	(n) 錯誤	(n) 先生	(n) 母親
mistake	(n) 錯誤	(n) 先生	(n) 母親	(n) 片刻
mister	(n) 先生	(n) 母親	(n) 片刻	(n) 母親
mom	(n) 母親	(n) 片刻	(n) 母親	(n) 星期一
moment	(n) 片刻	(n) 母親	(n) 星期一	(n) 錢
mommy	(n) 母親	(n) 星期一	(n) 錢	(n) 猴子
Monday	(n) 星期一	(n) 錢	(n) 猴子	(n) 月份
money	(n) 錢	(n) 猴子	(n) 月份	(n) 月亮
monkey	(n) 猴子	(n) 月份	(n) 月亮	(n) 早晨
month	(n) 月份	(n) 月亮	(n) 早晨	(n) 母親
moon	(n) 月亮	(n) 早晨	(n) 母親	(n) 山
morning	(n) 早晨	(n) 母親	(n) 山	(n) 老鼠; 滑鼠
mother	(n) 母親	(n) 山	(n) 老鼠; 滑鼠	(n) 嘴巴
mountain	(n) 山	(n) 老鼠; 滑鼠	(n) 嘴巴	(n) 動作
mouse	(n) 老鼠; 滑鼠	(n) 嘴巴	(n) 動作	(n) 電影
mouth	(n) 嘴巴	(n) 動作	(n) 電影	(n) 泥巴
movement	(n) 動作	(n) 電影	(n) 泥巴	(n) (有柄)大杯子
movie	(n) 電影	(n) 泥巴	(n) (有柄)大杯子	(n) 木乃伊;(兒語)媽媽
mud	(n) 泥巴	(n) (有柄)大杯子	(n) 木乃伊;(兒語)媽媽	(n) 音樂
mug	(n) (有柄)大杯子	(n) 木乃伊;(兒語)媽媽	(n) 音樂	(n) 必須做的事;不可少的事物
mummy	(n) 木乃伊;(兒語)媽媽	(n) 音樂	(n) 必須做的事;不可少的事物	(n) 名字
music	(n) 音樂	(n) 必須做的事;不可少的事物	(n) 名字	(n) 國家
must	(n) 必須做的事;不可少的事物	(n) 名字	(n) 國家	(n) 自然
name	(n) 名字	(n) 國家	(n) 自然	(n) 脖子
nation	(n) 國家	(n) 自然	(n) 脖子	(n) 需要;需求;貧窮
nature	(n) 自然	(n) 脖子	(n) 需要;需求;貧窮	(n) 新聞
neck	(n) 脖子	(n) 需要;需求;貧窮	(n) 新聞	(n) 報紙
need	(n) 需要;需求;貧窮	(n) 新聞	(n) 報紙	(n) 夜晚
news	(n) 新聞	(n) 報紙	(n) 夜晚	(n) 九
newspaper	(n) 報紙	(n) 夜晚	(n) 九	(n) 十九
night	(n) 夜晚	(n) 九	(n) 十九	(n) 九十
nine	(n) 九	(n) 十九	(n) 九十	(n) 不;沒有;拒絕;反對票
nineteen	(n) 十九	(n) 九十	(n) 不;沒有;拒絕;反對票	(n) 噪音
ninety	(n) 九十	(n) 不;沒有;拒絕;反對票	(n) 噪音	(n) 中午
no	(n) 不;沒有;拒絕;反對票	(n) 噪音	(n) 中午	(n) 北方
noise	(n) 噪音	(n) 中午	(n) 北方	(n) 鼻子
noon	(n) 中午	(n) 北方	(n) 鼻子	(n) 筆記;音符;記錄;便條
north	(n) 北方	(n) 鼻子	(n) 筆記;音符;記錄;便條	(n) 無事;無物;沒什麼
nose	(n) 鼻子	(n) 筆記;音符;記錄;便條	(n) 無事;無物;沒什麼	(n) 注意;通知
note	(n) 筆記;音符;記錄;便條	(n) 無事;無物;沒什麼	(n) 注意;通知	(n) 十一月
nothing	(n) 無事;無物;沒什麼	(n) 注意;通知	(n) 十一月	(n) 現在,目前,此刻
notice	(n) 注意;通知	(n) 十一月	(n) 現在,目前,此刻	(n) 號碼;數字
November	(n) 十一月	(n) 現在,目前,此刻	(n) 號碼;數字	(n) 護士
now	(n) 現在,目前,此刻	(n) 號碼;數字	(n) 護士	(n) 認可,批准
number	(n) 號碼;數字	(n) 護士	(n) 認可,批准	(n) 海洋
nurse	(n) 護士	(n) 認可,批准	(n) 海洋	(n) 點鐘
O.K.	(n) 認可,批准	(n) 海洋	(n) 點鐘	(n) 十月
ocean	(n) 海洋	(n) 點鐘	(n) 十月	(n) 辦公室
o'clock	(n) 點鐘	(n) 十月	(n) 辦公室	(n) 軍官;官員
October	(n) 十月	(n) 辦公室	(n) 軍官;官員	(n) 油
office	(n) 辦公室	(n) 軍官;官員	(n) 油	(n) 認可,批准
officer	(n) 軍官;官員	(n) 油	(n) 認可,批准	(n) 同意;批准
oil	(n) 油	(n) 認可,批准	(n) 同意;批准	(n) 一次,一回
OK	(n) 認可,批准	(n) 同意;批准	(n) 一次,一回	(n) 一;一個人;一件事物
okay	(n) 同意;批准	(n) 一次,一回	(n) 一;一個人;一件事物	(n) 戶外,野外;曠野,空地;公開賽
once	(n) 一次,一回	(n) 一;一個人;一件事物	(n) 戶外,野外;曠野,空地;公開賽	(n) 定單
one	(n) 一;一個人;一件事物	(n) 戶外,野外;曠野,空地;公開賽	(n) 定單	(n) 託辭;(棒球等)出局
open	(n) 戶外,野外;曠野,空地;公開賽	(n) 定單	(n) 託辭;(棒球等)出局	(n) 外面,外部;外側;外表
order	(n) 定單	(n) 託辭;(棒球等)出局	(n) 外面,外部;外側;外表	(n) 爸
out	(n) 託辭;(棒球等)出局	(n) 外面,外部;外側;外表	(n) 爸	(n) 頁
outside	(n) 外面,外部;外側;外表	(n) 爸	(n) 頁	(n) 油漆,塗料
pa	(n) 爸	(n) 頁	(n) 油漆,塗料	(n) 一副
page	(n) 頁	(n) 油漆,塗料	(n) 一副	(n) 褲子
paint	(n) 油漆,塗料	(n) 一副	(n) 褲子	(n) 爸爸
pair	(n) 一副	(n) 褲子	(n) 爸爸	(n) 紙張
pants	(n) 褲子	(n) 爸爸	(n) 紙張	(n) 雙親之一
papa	(n) 爸爸	(n) 紙張	(n) 雙親之一	(n) 公園
paper	(n) 紙張	(n) 雙親之一	(n) 公園	(n) 部份
parent	(n) 雙親之一	(n) 公園	(n) 部份	(n) 派對
park	(n) 公園	(n) 部份	(n) 派對	(n) 通行證;護照;及格;傳球動作;山隘
part	(n) 部份	(n) 派對	(n) 通行證;護照;及格;傳球動作;山隘	(n) 過去,昔日;往事;經歷;過去式
party	(n) 派對	(n) 通行證;護照;及格;傳球動作;山隘	(n) 過去,昔日;往事;經歷;過去式	(n) 支付,付款
pass	(n) 通行證;護照;及格;傳球動作;山隘	(n) 過去,昔日;往事;經歷;過去式	(n) 支付,付款	(n) 原子筆;墨水筆
past	(n) 過去,昔日;往事;經歷;過去式	(n) 支付,付款	(n) 原子筆;墨水筆	(n) 鉛筆
payment	(n) 支付,付款	(n) 原子筆;墨水筆	(n) 鉛筆	(n) 人們
pen	(n) 原子筆;墨水筆	(n) 鉛筆	(n) 人們	(n) 人
pencil	(n) 鉛筆	(n) 人們	(n) 人	(n) 寵物
people	(n) 人們	(n) 人	(n) 寵物	(n) 鋼琴
person	(n) 人	(n) 寵物	(n) 鋼琴	(n) 圖畫;照片
pet	(n) 寵物	(n) 鋼琴	(n) 圖畫;照片	(n) 派(食品)
piano	(n) 鋼琴	(n) 圖畫;照片	(n) 派(食品)	(n) 件;片
picture	(n) 圖畫;照片	(n) 派(食品)	(n) 件;片	(n) 豬
pie	(n) 派(食品)	(n) 件;片	(n) 豬	(n) 地方
piece	(n) 件;片	(n) 豬	(n) 地方	(n) 計畫
pig	(n) 豬	(n) 地方	(n) 計畫	(n) 飛機
place	(n) 地方	(n) 計畫	(n) 飛機	(n) 植物,農作物;工廠
plan	(n) 計畫	(n) 飛機	(n) 植物,農作物;工廠	(n) 遊戲;戲劇
plane	(n) 飛機	(n) 植物,農作物;工廠	(n) 遊戲;戲劇	(n) 遊戲者;運動者;表演者
plant	(n) 植物,農作物;工廠	(n) 遊戲;戲劇	(n) 遊戲者;運動者;表演者	(n) 遊樂場;運動場
play	(n) 遊戲;戲劇	(n) 遊戲者;運動者;表演者	(n) 遊樂場;運動場	(n) 口袋
player	(n) 遊戲者;運動者;表演者	(n) 遊樂場;運動場	(n) 口袋	(n) 詩,詩歌,韻文
playground	(n) 遊樂場;運動場	(n) 口袋	(n) 詩,詩歌,韻文	(n) 點;要點
pocket	(n) 口袋	(n) 詩,詩歌,韻文	(n) 點;要點	(n) 警察
poetry	(n) 詩,詩歌,韻文	(n) 點;要點	(n) 警察	(n) 警察,警員
point	(n) 點;要點	(n) 警察	(n) 警察,警員	(n) 池塘
police	(n) 警察	(n) 警察,警員	(n) 池塘	(n) 水池;美式撞球
policeman	(n) 警察,警員	(n) 池塘	(n) 水池;美式撞球	(n) 砰的一聲
pond	(n) 池塘	(n) 水池;美式撞球	(n) 砰的一聲	(n) 爆米花
pool	(n) 水池;美式撞球	(n) 砰的一聲	(n) 爆米花	(n) 位置
pop	(n) 砰的一聲	(n) 爆米花	(n) 位置	(n) 權力;動力
popcorn	(n) 爆米花	(n) 位置	(n) 權力;動力	(n) 練習
position	(n) 位置	(n) 權力;動力	(n) 練習	(n) 價錢
power	(n) 權力;動力	(n) 練習	(n) 價錢	(n) 圖片印刷品;出版物
practice	(n) 練習	(n) 價錢	(n) 圖片印刷品;出版物	(n) 問題
price	(n) 價錢	(n) 圖片印刷品;出版物	(n) 問題	(n) 公眾,民眾
print	(n) 圖片印刷品;出版物	(n) 問題	(n) 公眾,民眾	(n) 拉,拖
problem	(n) 問題	(n) 公眾,民眾	(n) 拉,拖	(n) 目的
public	(n) 公眾,民眾	(n) 拉,拖	(n) 目的	(n) 推;推進;奮發;緊迫
pull	(n) 拉,拖	(n) 目的	(n) 推;推進;奮發;緊迫	(n) 皇后
purpose	(n) 目的	(n) 推;推進;奮發;緊迫	(n) 皇后	(n) 問題
push	(n) 推;推進;奮發;緊迫	(n) 皇后	(n) 問題	(n) 安靜;寂靜;安穩;和平
queen	(n) 皇后	(n) 問題	(n) 安靜;寂靜;安穩;和平	(n) 競賽;(生物的)種類
question	(n) 問題	(n) 安靜;寂靜;安穩;和平	(n) 競賽;(生物的)種類	(n) 收音機
quiet	(n) 安靜;寂靜;安穩;和平	(n) 競賽;(生物的)種類	(n) 收音機	(n) 鐵路
race	(n) 競賽;(生物的)種類	(n) 收音機	(n) 鐵路	(n) 雨
radio	(n) 收音機	(n) 鐵路	(n) 雨	(n) 彩虹
railroad	(n) 鐵路	(n) 雨	(n) 彩虹	(n) 加薪;賭注加碼
rain	(n) 雨	(n) 彩虹	(n) 加薪;賭注加碼	(n) 老鼠
rainbow	(n) 彩虹	(n) 加薪;賭注加碼	(n) 老鼠	(n) 可及之範圍
raise	(n) 加薪;賭注加碼	(n) 老鼠	(n) 可及之範圍	(n) 理由
rat	(n) 老鼠	(n) 可及之範圍	(n) 理由	(n) 報告
reach	(n) 可及之範圍	(n) 理由	(n) 報告	(n) 休息;靜止;安息;休止符;其餘
reason	(n) 理由	(n) 報告	(n) 休息;靜止;安息;休止符;其餘	(n) 回答;收益;利息;來回票;退貨
report	(n) 報告	(n) 休息;靜止;安息;休止符;其餘	(n) 回答;收益;利息;來回票;退貨	(n) 稻米;飯
rest	(n) 休息;靜止;安息;休止符;其餘	(n) 回答;收益;利息;來回票;退貨	(n) 稻米;飯	(n) 搭乘;兜風
return	(n) 回答;收益;利息;來回票;退貨	(n) 稻米;飯	(n) 搭乘;兜風	(n) 公理;權利
rice	(n) 稻米;飯	(n) 搭乘;兜風	(n) 公理;權利	(n) 指環;鈴聲
ride	(n) 搭乘;兜風	(n) 公理;權利	(n) 指環;鈴聲	(n) (數量,程度等)增加,上漲;上升
right	(n) 公理;權利	(n) 指環;鈴聲	(n) (數量,程度等)增加,上漲;上升	(n) 河流
ring	(n) 指環;鈴聲	(n) (數量,程度等)增加,上漲;上升	(n) 河流	(n) 道路
rise	(n) (數量,程度等)增加,上漲;上升	(n) 河流	(n) 道路	(n) 機器人
river	(n) 河流	(n) 道路	(n) 機器人	(n) 岩石;搖滾樂
road	(n) 道路	(n) 機器人	(n) 岩石;搖滾樂	(n) 屋頂
robot	(n) 機器人	(n) 岩石;搖滾樂	(n) 屋頂	(n) 房間
rock	(n) 岩石;搖滾樂	(n) 屋頂	(n) 房間	(n) 雄雞;狂妄自負的人
roof	(n) 屋頂	(n) 房間	(n) 雄雞;狂妄自負的人	(n) 根
room	(n) 房間	(n) 雄雞;狂妄自負的人	(n) 根	(n) 粗繩
rooster	(n) 雄雞;狂妄自負的人	(n) 根	(n) 粗繩	(n) 玫瑰
root	(n) 根	(n) 粗繩	(n) 玫瑰	(n) 一輪,一回合,一場,一局;圓形物
