唱える (となえる)	to recite	proof	unmarried woman 	to propose
点線 (てんせん)	dotted line	rear	servant 	eastern Japan 
殿 (しんがり)	rear	servant 	eastern Japan 	large building
奴 (やっこ)	servant 	eastern Japan 	large building	kanji used as a phonetic symbol
東 (あずま)	eastern Japan 	large building	kanji used as a phonetic symbol	daily allowance
棟 (とう)	large building	kanji used as a phonetic symbol	daily allowance	to write 
当て字 (あてじ)	kanji used as a phonetic symbol	daily allowance	to write 	absurd
日当 (にっとう)	daily allowance	to write 	absurd	to go out of use
したためる (認める)	to write 	absurd	to go out of use	variable measure of fabric 
ばかばかしい (馬鹿馬鹿しい)	absurd	to go out of use	variable measure of fabric 	anger
廃れる (すたれる)	to go out of use	variable measure of fabric 	anger	France
反 (たん)	variable measure of fabric 	anger	France	open-air fire 
腹立ち (はらだち)	anger	France	open-air fire 	left-hand radical of a character
仏 (ふつ)	France	open-air fire 	left-hand radical of a character	pawn
焚き火 (たきび)	open-air fire 	left-hand radical of a character	pawn	unsatisfying
偏 (へん)	left-hand radical of a character	pawn	unsatisfying	dumbfounded
歩 (ふ)	pawn	unsatisfying	dumbfounded	to throw into
あっけない (呆気ない)	unsatisfying	dumbfounded	to throw into	to throw out 
呆然 (ぼうぜん)	dumbfounded	to throw into	to throw out 	servant
放り込む (ほうりこむ)	to throw into	to throw out 	servant	to bury
放り出す (ほうりだす)	to throw out 	servant	to bury	top end
しもべ (僕)	servant	to bury	top end	many
埋め込む (うめこむ)	to bury	top end	many	plan
末 (うら)	top end	many	plan	war
万 (ばん)	many	plan	war	gentle
目論見 (もくろみ)	plan	war	gentle	pile
役 (えき)	war	gentle	pile	counter for wheels and flowers
優 (やさ)	gentle	pile	counter for wheels and flowers	moment
溜まり (たまり)	pile	counter for wheels and flowers	moment	to laugh at
輪 (りん)	counter for wheels and flowers	moment	to laugh at	excreta
とっさ (咄嗟)	moment	to laugh at	excreta	to pinch
あざ笑う (あざわらう)	to laugh at	excreta	to pinch	to get complicated
し尿 (しにょう)	excreta	to pinch	to get complicated	to pluck
つねる (抓る)	to pinch	to get complicated	to pluck	free and easy
こじれる (拗れる)	to get complicated	to pluck	free and easy	to dry up 
毟る (むしる)	to pluck	free and easy	to dry up 	brilliant
洒落 (しゃらく)	free and easy	to dry up 	brilliant	to jar
涸れる (かれる)	to dry up 	brilliant	to jar	to be stumped
煌々 (こうこう)	brilliant	to jar	to be stumped	hail 
きしむ (軋む)	to jar	to be stumped	hail 	unlucky day
辟易 (へきえき)	to be stumped	hail 	unlucky day	qian 
霰 (あられ)	hail 	unlucky day	qian 	rival
悪日 (あくにち)	unlucky day	qian 	rival	past events
乾 (けん)	qian 	rival	past events	treasure house
敵 (かたき)	rival	past events	treasure house	next 
旧事 (きゅうじ)	past events	treasure house	next 	tumour
金蔵 (かねぐら)	treasure house	next 	tumour	blink 
次 (じ)	next 	tumour	blink 	upper part 
できもの (出来物)	tumour	blink 	upper part 	hero
瞬き (まばたき)	blink 	upper part 	hero	to rinse
上手 (うわて)	upper part 	hero	to rinse	class
丈夫 (じょうふ)	hero	to rinse	class	spots
すすぐ (濯ぐ)	to rinse	class	spots	to offer
等 (とう)	class	spots	to offer	during the night
ぶち (斑)	spots	to offer	during the night	son 
奉る (たてまつる)	to offer	during the night	son 	stinginess
夜中 (やちゅう)	during the night	son 	stinginess	unwillingly
倅 (せがれ)	son 	stinginess	unwillingly	cavity
吝嗇 (りんしょく)	stinginess	unwillingly	cavity	main
いやいや (嫌々)	unwillingly	cavity	main	itemized form
虚ろ (うつろ)	cavity	main	itemized form	next 
主なる (おもなる)	main	itemized form	next 	something small
箇条書き (かじょうがき)	itemized form	next 	something small	to carry off
来る (きたる)	next 	something small	to carry off	custom
些事 (さじ)	something small	to carry off	custom	end
さらう (攫う)	to carry off	custom	end	to rub
しきたり (仕来り)	custom	end	to rub	kind
仕舞い (しまい)	end	to rub	kind	clashing of swords
擦れる (すれる)	to rub	kind	clashing of swords	swap
たぐい (類い)	kind	clashing of swords	swap	to melt 
丁々 (ちょうちょう)	clashing of swords	swap	to melt 	poor
取り替え (とりかえ)	swap	to melt 	poor	to deprecate oneself and praise the listener
とろける (蕩ける)	to melt 	poor	to deprecate oneself and praise the listener	occasionally
不憫 (ふびん)	poor	to deprecate oneself and praise the listener	occasionally	therefore
へりくだる (謙る)	to deprecate oneself and praise the listener	occasionally	therefore	charming
間々 (まま)	occasionally	therefore	charming	to graze 
よって (因って)	therefore	charming	to graze 	opposite side
艶 (えん)	charming	to graze 	opposite side	counter for houses
かする (掠る)	to graze 	opposite side	counter for houses	vacancy
対辺 (たいへん)	opposite side	counter for houses	vacancy	metal rod
戸 (こ)	counter for houses	vacancy	metal rod	constable
空き間 (あきま)	vacancy	metal rod	constable	product of the land 
金棒 (かなぼう)	metal rod	constable	product of the land 	first visit to inn
捕吏 (ほり)	constable	product of the land 	first visit to inn	treasured article or vessel
土産 (どさん)	product of the land 	first visit to inn	treasured article or vessel	strap 
一見 (いちげん)	first visit to inn	treasured article or vessel	strap 	iron scraps
宝器 (ほうき)	treasured article or vessel	strap 	iron scraps	great
つり革 (つりかわ)	strap 	iron scraps	great	sigh 
鉄片 (てっぺん)	iron scraps	great	sigh 	precious stone 
豪儀 (ごうぎ)	great	sigh 	precious stone 	house
嘆 (たん)	sigh 	precious stone 	house	Yang energy
玉 (ぎょく)	precious stone 	house	Yang energy	qing 
館 (かん)	house	Yang energy	qing 	basis
魂 (こん)	Yang energy	qing 	basis	counter for the ichi-ni-san counting system 
頃 (けい)	qing 	basis	counter for the ichi-ni-san counting system 	school 
基 (もとい)	basis	counter for the ichi-ni-san counting system 	school 	first sign of the Chinese calendar
箇 (か)	counter for the ichi-ni-san counting system 	school 	first sign of the Chinese calendar	10^24
校 (こう)	school 	first sign of the Chinese calendar	10^24	curtain
甲 (きのえ)	first sign of the Chinese calendar	10^24	curtain	including...
秭 (し)	10^24	curtain	including...	head
とばり (帳)	curtain	including...	head	precedent
ごと (共)	including...	head	precedent	lavish
長 (おさ)	head	precedent	lavish	possibly
例 (ためし)	precedent	lavish	possibly	person in charge of music 
華奢 (かしゃ)	lavish	possibly	person in charge of music 	gargling
ことによると (事によると)	possibly	person in charge of music 	gargling	look
地方 (じかた)	person in charge of music 	gargling	look	promise
含嗽 (がんそう)	gargling	look	promise	serious matter
一目 (いちもく)	look	promise	serious matter	fashion
予言 (かねごと)	promise	serious matter	fashion	offering a prize
大事 (おおごと)	serious matter	fashion	offering a prize	right 
流行り (はやり)	fashion	offering a prize	right 	to show off
懸賞 (けんしょう)	offering a prize	right 	to show off	unsightly
権 (けん)	right 	to show off	unsightly	formal marriage interview
見せびらかす (みせびらかす)	to show off	unsightly	formal marriage interview	to exchange glances
見苦しい (みぐるしい)	unsightly	formal marriage interview	to exchange glances	view
見合い (みあい)	formal marriage interview	to exchange glances	view	to look out over
見合わせる (みあわせる)	to exchange glances	view	to look out over	to overlook
見晴らし (みはらし)	view	to look out over	to overlook	row of houses 
見渡す (みわたす)	to look out over	to overlook	row of houses 	originally
見落とす (みおとす)	to overlook	row of houses 	originally	open field
軒並み (のきなみ)	row of houses 	originally	open field	original document 
元来 (がんらい)	originally	open field	original document 	solemn 
原っぱ (はらっぱ)	open field	original document 	solemn 	subtract
原書 (げんしょ)	original document 	solemn 	subtract	expert
厳か (おごそか)	solemn 	subtract	expert	developing 
減点 (げんてん)	subtract	expert	developing 	antiquity
玄人 (くろうと)	expert	developing 	antiquity	solid 
現像 (げんぞう)	developing 	antiquity	solid 	locking up 
古 (いにしえ)	antiquity	solid 	locking up 	crotch
固体 (こたい)	solid 	locking up 	crotch	to boast of
戸締まり (とじまり)	locking up 	crotch	to boast of	exaggeration
股 (また)	crotch	to boast of	exaggeration	to look back on 
誇る (ほこる)	to boast of	exaggeration	to look back on 	putting off
誇張 (こちょう)	exaggeration	to look back on 	putting off	regret
顧みる (かえりみる)	to look back on 	putting off	regret	to perceive
後回し (あとまわし)	putting off	regret	to perceive	word root
後悔 (こうかい)	regret	to perceive	word root	vocabulary
悟る (さとる)	to perceive	word root	vocabulary	to make a mistake
語源 (ごげん)	word root	vocabulary	to make a mistake	measurement error
語彙 (ごい)	vocabulary	to make a mistake	measurement error	to cross
誤る (あやまる)	to make a mistake	measurement error	to cross	cost of fuel and lighting
誤差 (ごさ)	measurement error	to cross	cost of fuel and lighting	open
交わる (まじわる)	to cross	cost of fuel and lighting	open	ingenious
光熱費 (こうねつひ)	cost of fuel and lighting	open	ingenious	to spread
公然 (こうぜん)	open	ingenious	to spread	wild
巧妙 (こうみょう)	ingenious	to spread	wild	to lay waste
広まる (ひろまる)	to spread	wild	to lay waste	procurement
荒っぽい (あらっぽい)	wild	to lay waste	procurement	mining industry
荒らす (あらす)	to lay waste	procurement	mining industry	rainfall
購買 (こうばい)	procurement	mining industry	rainfall	capitulation
鉱業 (こうぎょう)	mining industry	rainfall	capitulation	to match 
降水 (こうすい)	rainfall	capitulation	to match 	to tell
降伏 (こうふく)	capitulation	to match 	to tell	confession
合わす (あわす)	to match 	to tell	confession	patience
告げる (つげる)	to tell	confession	patience	mixed race
告白 (こくはく)	confession	patience	mixed race	confusion
根気 (こんき)	patience	mixed race	confusion	to come near to
混血 (こんけつ)	mixed race	confusion	to come near to	to interfere
混同 (こんどう)	confusion	to come near to	to interfere	to present
差し掛かる (さしかかる)	to come near to	to interfere	to present	symposium
差し支える (さしつかえる)	to interfere	to present	symposium	to hold 
差し出す (さしだす)	to present	symposium	to hold 	collecting
座談会 (ざだんかい)	symposium	to hold 	collecting	to finish
催す (もよおす)	to hold 	collecting	to finish	optical illusion
採集 (さいしゅう)	collecting	to finish	optical illusion	mistake
済ます (すます)	to finish	optical illusion	mistake	counter for books 
錯覚 (さっかく)	optical illusion	mistake	counter for books 	to guess
錯誤 (さくご)	mistake	counter for books 	to guess	rough
冊 (さつ)	counter for books 	to guess	rough	chatting
察する (さっする)	to guess	rough	chatting	mountain range
雑 (ざつ)	rough	chatting	mountain range	wharf
雑談 (ざつだん)	chatting	mountain range	wharf	praise
山脈 (さんみゃく)	mountain range	wharf	praise	finish
桟橋 (さんばし)	wharf	praise	finish	to finish up
賛美 (さんび)	praise	finish	to finish up	to lay in stock
仕上がり (しあがり)	finish	to finish up	to lay in stock	to tailor
仕上げる (しあげる)	to finish up	to lay in stock	to tailor	purpose
仕入れる (しいれる)	to lay in stock	to tailor	purpose	employee
仕立てる (したてる)	to tailor	purpose	employee	first departure 
使い道 (つかいみち)	purpose	employee	first departure 	management
使用人 (しようにん)	employee	first departure 	management	to plan
始発 (しはつ)	first departure 	management	to plan	directions
